罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,現金以外の主な被害品
窃盗,部品ねらい,南,吉野町,141054,神奈川県,横浜市南区,前里町１丁目,2019-09-04,17,,ナンバープレート
窃盗,部品ねらい,南,久保山,141054,神奈川県,横浜市南区,庚台,2019-11-18,01,一戸建住宅,その他
窃盗,部品ねらい,南,久保山,141054,神奈川県,横浜市南区,三春台,2019-07-22,12,,ナンバープレート
窃盗,部品ねらい,南,南太田,141054,神奈川県,横浜市南区,清水ケ丘,2019-07-07,23,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,南,南太田,141054,神奈川県,横浜市南区,南太田２丁目,2019-03-16,05,駐車（輪）場,その他
窃盗,部品ねらい,南,南太田,141054,神奈川県,横浜市南区,南太田３丁目,2019-07-27,09,,ナンバープレート
窃盗,部品ねらい,南,南太田,141054,神奈川県,横浜市南区,南太田４丁目,2019-07-28,15,４階建て以上共同住宅,その他
窃盗,部品ねらい,南,大岡町,141054,神奈川県,横浜市南区,大岡２丁目,2019-04-14,17,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,南,大岡町,141054,神奈川県,横浜市南区,大岡３丁目,2019-10-14,12,一戸建住宅,ナンバープレート
窃盗,部品ねらい,南,井土ケ谷,141054,神奈川県,横浜市南区,井土ケ谷下町,2019-05-28,14,,タイヤ・ホイール
窃盗,部品ねらい,南,井土ケ谷,141054,神奈川県,横浜市南区,井土ケ谷下町,2019-08-09,17,,ナンバープレート
窃盗,部品ねらい,南,井土ケ谷,141054,神奈川県,横浜市南区,井土ケ谷中町,不明,不明,,ナンバープレート
窃盗,部品ねらい,南,井土ケ谷,141054,神奈川県,横浜市南区,井土ケ谷中町,2019-02-27,09,,ナンバープレート
窃盗,部品ねらい,南,永田,141054,神奈川県,横浜市南区,永田北１丁目,2019-03-25,20,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,南,六ツ川,141054,神奈川県,横浜市南区,六ツ川２丁目,2019-01-04,19,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,南,別所町,141054,神奈川県,横浜市南区,別所２丁目,2019-04-25,15,一戸建住宅,ナンバープレート
窃盗,部品ねらい,南,別所町,141054,神奈川県,横浜市南区,別所３丁目,2019-07-27,20,,ナンバープレート
窃盗,部品ねらい,南,別所町,141054,神奈川県,横浜市南区,別所５丁目,2019-08-27,19,,ナンバープレート
窃盗,部品ねらい,南,別所町,141054,神奈川県,横浜市南区,別所中里台,2019-09-08,11,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,南,大池,141054,神奈川県,横浜市南区,永田みなみ台,2019-03-14,16,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,南,大池,141054,神奈川県,横浜市南区,永田みなみ台,2019-05-10,18,４階建て以上共同住宅,その他
窃盗,部品ねらい,南,大池,141054,神奈川県,横浜市南区,六ツ川２丁目,2019-07-07,21,,ナンバープレート
窃盗,部品ねらい,南,大池,141054,神奈川県,横浜市南区,六ツ川２丁目,2019-12-13,23,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,南,大池,141054,神奈川県,横浜市南区,六ツ川３丁目,2019-10-29,18,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,南,通町,141054,神奈川県,横浜市南区,弘明寺町,2019-02-21,07,駐車（輪）場,その他
窃盗,部品ねらい,南,通町,141054,神奈川県,横浜市南区,弘明寺町,2019-03-06,08,駐車（輪）場,その他
窃盗,部品ねらい,南,通町,141054,神奈川県,横浜市南区,弘明寺町,2019-11-23,11,その他の住宅（３階建て以下共同住宅等）,タイヤ・ホイール
窃盗,部品ねらい,南,通町,141054,神奈川県,横浜市南区,宿町１丁目,2019-03-30,21,,ナンバープレート
窃盗,部品ねらい,南,通町,141054,神奈川県,横浜市南区,通町２丁目,2019-07-28,15,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,南,通町,141054,神奈川県,横浜市南区,宮元町１丁目,2019-07-16,19,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,大和,大和駅前,142131,神奈川県,大和市,上草柳２丁目,2019-01-29,18,,ナンバープレート
窃盗,部品ねらい,大和,大和駅前,142131,神奈川県,大和市,上草柳６丁目,2019-07-11,23,,ナンバープレート
窃盗,部品ねらい,大和,大和駅前,142131,神奈川県,大和市,草柳２丁目,2019-11-25,00,駐車（輪）場,その他
窃盗,部品ねらい,大和,大和駅前,142131,神奈川県,大和市,深見,2019-06-25,22,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,大和,大和駅前,142131,神奈川県,大和市,深見台１丁目,2019-06-29,10,,ナンバープレート
窃盗,部品ねらい,大和,大和駅前,142131,神奈川県,大和市,深見台２丁目,2019-08-16,18,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,大和,大和駅前,142131,神奈川県,大和市,大和東３丁目,2019-06-22,18,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,大和,大和駅前,142131,神奈川県,大和市,大和南１丁目,2019-10-05,17,駐車（輪）場,その他
窃盗,部品ねらい,大和,大和駅前,142131,神奈川県,大和市,深見西２丁目,2019-09-17,20,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,大和,大和駅前,142182,神奈川県,綾瀬市,,2019-06-21,11,,その他
窃盗,部品ねらい,大和,相模大塚駅前,142131,神奈川県,大和市,上草柳,2019-04-27,17,,ナンバープレート
窃盗,部品ねらい,大和,相模大塚駅前,142131,神奈川県,大和市,上草柳,2019-11-30,17,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,大和,相模大塚駅前,142182,神奈川県,綾瀬市,大上７丁目,2019-06-25,20,４階建て以上共同住宅,タイヤ・ホイール
窃盗,部品ねらい,大和,相模大塚駅前,142182,神奈川県,綾瀬市,大上９丁目,2019-11-12,18,,ナンバープレート
窃盗,部品ねらい,大和,相模大塚駅前,142182,神奈川県,綾瀬市,蓼川１丁目,2019-03-19,05,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,大和,相模大塚駅前,142182,神奈川県,綾瀬市,蓼川１丁目,2019-11-26,22,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間３丁目,2019-11-05,20,その他の住宅（３階建て以下共同住宅等）,タイヤ・ホイール
窃盗,部品ねらい,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間５丁目,2019-11-08,17,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,大和,鶴間駅前,142131,神奈川県,大和市,深見西３丁目,2019-02-16,13,,ナンバープレート
窃盗,部品ねらい,大和,南林間駅前,142131,神奈川県,大和市,南林間１丁目,2018-09-16,09,,ナンバープレート
窃盗,部品ねらい,大和,南林間駅前,142131,神奈川県,大和市,南林間１丁目,2019-03-05,15,,ナンバープレート
窃盗,部品ねらい,大和,南林間駅前,142131,神奈川県,大和市,南林間７丁目,2019-12-01,18,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,大和,つきみ野駅前,142131,神奈川県,大和市,下鶴間,2019-01-11,21,,ナンバープレート
窃盗,部品ねらい,大和,つきみ野駅前,142131,神奈川県,大和市,下鶴間,2019-11-10,23,,ナンバープレート
窃盗,部品ねらい,大和,中央林間,142131,神奈川県,大和市,,2019-04-08,19,,ナンバープレート
窃盗,部品ねらい,大和,桜ヶ丘,142131,神奈川県,大和市,上和田,2019-04-25,21,,ナンバープレート
窃盗,部品ねらい,大和,桜ヶ丘,142131,神奈川県,大和市,福田,2019-09-01,16,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,大和,桜ヶ丘,142131,神奈川県,大和市,福田１丁目,2019-01-27,10,その他,ナンバープレート
窃盗,部品ねらい,大和,桜ヶ丘,142131,神奈川県,大和市,福田５丁目,2019-04-02,19,４階建て以上共同住宅,その他
窃盗,部品ねらい,大和,桜ヶ丘,142131,神奈川県,大和市,福田７丁目,2017-01-01,20,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,大和,桜ヶ丘,142131,神奈川県,大和市,福田７丁目,2019-03-23,22,４階建て以上共同住宅,その他
窃盗,部品ねらい,大和,福田,142131,神奈川県,大和市,上和田,2019-02-06,17,,ナンバープレート
窃盗,部品ねらい,大和,福田,142131,神奈川県,大和市,上和田,2019-07-08,18,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,大和,福田,142131,神奈川県,大和市,上和田,2019-09-11,06,４階建て以上共同住宅,その他
窃盗,部品ねらい,大和,福田,142131,神奈川県,大和市,下和田,2019-04-09,19,,ナンバープレート
窃盗,部品ねらい,大和,福田,142131,神奈川県,大和市,下和田,2019-04-14,19,,タイヤ・ホイール
窃盗,部品ねらい,大和,福田,142131,神奈川県,大和市,下和田,2019-05-28,20,,ナンバープレート
窃盗,部品ねらい,大和,福田,142131,神奈川県,大和市,下和田,2019-06-05,22,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,大和,福田,142131,神奈川県,大和市,下和田,2019-06-12,20,,ナンバープレート
窃盗,部品ねらい,大和,福田,142131,神奈川県,大和市,下和田,2019-09-25,12,一戸建住宅,ナンバープレート
窃盗,部品ねらい,大和,福田,142131,神奈川県,大和市,代官１丁目,2019-01-02,18,,ナンバープレート
窃盗,部品ねらい,大和,福田,142131,神奈川県,大和市,代官１丁目,2019-05-01,07,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,大和,福田,142131,神奈川県,大和市,代官１丁目,2019-11-24,20,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,大和,福田,142131,神奈川県,大和市,,2019-09-09,12,駐車（輪）場,その他
窃盗,部品ねらい,大和,福田,142131,神奈川県,大和市,渋谷１丁目,2019-05-25,23,,タイヤ・ホイール
窃盗,部品ねらい,大和,福田,142131,神奈川県,大和市,渋谷３丁目,2019-11-23,18,,ナンバープレート
窃盗,部品ねらい,大和,福田,142131,神奈川県,大和市,渋谷６丁目,2019-08-18,08,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,大和,上土棚,142182,神奈川県,綾瀬市,上土棚南６丁目,2019-07-22,20,一戸建住宅,ナンバープレート
窃盗,部品ねらい,大和,上土棚,142182,神奈川県,綾瀬市,落合南２丁目,2019-03-16,19,その他の住宅（３階建て以下共同住宅等）,タイヤ・ホイール
窃盗,部品ねらい,大和,寺尾,142182,神奈川県,綾瀬市,大上４丁目,2019-07-02,17,駐車（輪）場,その他
窃盗,部品ねらい,大和,寺尾,142182,神奈川県,綾瀬市,小園,2019-05-05,16,一戸建住宅,ナンバープレート
窃盗,部品ねらい,大和,寺尾,142182,神奈川県,綾瀬市,寺尾西１丁目,2019-03-25,17,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大和,寺尾,142182,神奈川県,綾瀬市,寺尾南２丁目,2019-05-05,17,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,大和,深谷,142182,神奈川県,綾瀬市,本蓼川,2019-05-11,20,その他,その他
窃盗,部品ねらい,大和,深谷,142182,神奈川県,綾瀬市,落合北１丁目,2019-02-02,19,,ナンバープレート
窃盗,部品ねらい,大和,深谷,142182,神奈川県,綾瀬市,深谷南１丁目,2019-05-08,23,,ナンバープレート
窃盗,部品ねらい,大和,綾瀬地区,142182,神奈川県,綾瀬市,早川,2018-08-20,13,,ナンバープレート
窃盗,部品ねらい,泉,中田,141160,神奈川県,横浜市泉区,中田東１丁目,2019-08-22,21,,ナンバープレート
窃盗,部品ねらい,泉,中田,141160,神奈川県,横浜市泉区,中田北２丁目,2019-08-18,21,,ナンバープレート
窃盗,部品ねらい,泉,中田,141160,神奈川県,横浜市泉区,中田西１丁目,2019-04-13,12,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,泉,中田,141160,神奈川県,横浜市泉区,中田西４丁目,2019-01-26,14,,ナンバープレート
窃盗,部品ねらい,泉,中田,141160,神奈川県,横浜市泉区,中田南５丁目,2019-07-28,19,,ナンバープレート
窃盗,部品ねらい,泉,和泉,141160,神奈川県,横浜市泉区,和泉町,2019-06-10,17,その他,ナンバープレート
窃盗,部品ねらい,泉,和泉,141160,神奈川県,横浜市泉区,和泉町,2019-07-22,11,,ナンバープレート
窃盗,部品ねらい,泉,和泉,141160,神奈川県,横浜市泉区,和泉中央北４丁目,2019-05-31,17,,その他
窃盗,部品ねらい,泉,和泉,141160,神奈川県,横浜市泉区,和泉中央北５丁目,2019-07-02,18,,ナンバープレート
窃盗,部品ねらい,泉,和泉,141160,神奈川県,横浜市泉区,和泉中央北５丁目,2019-07-14,14,,ナンバープレート
窃盗,部品ねらい,泉,和泉,141160,神奈川県,横浜市泉区,和泉中央北６丁目,2019-04-10,21,一戸建住宅,タイヤ・ホイール
窃盗,部品ねらい,泉,下和泉,141160,神奈川県,横浜市泉区,和泉町,2018-12-15,18,,その他
窃盗,部品ねらい,泉,下和泉,141160,神奈川県,横浜市泉区,下飯田町,2019-02-15,13,その他,ナンバープレート
窃盗,部品ねらい,泉,下和泉,141160,神奈川県,横浜市泉区,下飯田町,2019-03-14,08,,タイヤ・ホイール
窃盗,部品ねらい,泉,下和泉,141160,神奈川県,横浜市泉区,下飯田町,2019-05-29,21,,ナンバープレート
窃盗,部品ねらい,泉,下和泉,141160,神奈川県,横浜市泉区,下飯田町,2019-06-28,14,,タイヤ・ホイール
窃盗,部品ねらい,泉,下和泉,141160,神奈川県,横浜市泉区,下和泉２丁目,2019-03-11,16,一戸建住宅,ナンバープレート
窃盗,部品ねらい,泉,下和泉,141160,神奈川県,横浜市泉区,下和泉４丁目,2019-07-21,22,一戸建住宅,ナンバープレート
窃盗,部品ねらい,泉,下和泉,141160,神奈川県,横浜市泉区,,2019-08-22,19,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,泉,下和泉,141160,神奈川県,横浜市泉区,和泉が丘２丁目,2019-07-12,18,一戸建住宅,ナンバープレート
窃盗,部品ねらい,泉,緑園都市駅前,141160,神奈川県,横浜市泉区,池の谷,2019-10-16,14,,タイヤ・ホイール
窃盗,部品ねらい,泉,緑園都市駅前,141160,神奈川県,横浜市泉区,岡津町,2019-06-02,18,一戸建住宅,ナンバープレート
窃盗,部品ねらい,泉,緑園都市駅前,141160,神奈川県,横浜市泉区,岡津町,2019-12-03,20,一戸建住宅,タイヤ・ホイール
窃盗,部品ねらい,泉,緑園都市駅前,141160,神奈川県,横浜市泉区,新橋町,2019-06-05,21,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,泉,緑園都市駅前,141160,神奈川県,横浜市泉区,新橋町,2019-12-21,18,４階建て以上共同住宅,その他
窃盗,部品ねらい,泉,緑園都市駅前,141160,神奈川県,横浜市泉区,緑園１丁目,2019-06-13,15,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,泉,上飯田,141160,神奈川県,横浜市泉区,上飯田町,2016-04-15,09,,ナンバープレート
窃盗,部品ねらい,泉,上飯田,141160,神奈川県,横浜市泉区,上飯田町,2019-01-02,15,,ナンバープレート
窃盗,部品ねらい,泉,上飯田,141160,神奈川県,横浜市泉区,上飯田町,2019-01-17,14,,ナンバープレート
窃盗,部品ねらい,泉,上飯田,141160,神奈川県,横浜市泉区,上飯田町,2019-02-15,21,一戸建住宅,ナンバープレート
窃盗,部品ねらい,泉,上飯田,141160,神奈川県,横浜市泉区,上飯田町,2019-04-14,18,,その他
窃盗,部品ねらい,泉,上飯田,141160,神奈川県,横浜市泉区,上飯田町,2019-06-21,17,,ナンバープレート
窃盗,部品ねらい,泉,上飯田,141160,神奈川県,横浜市泉区,上飯田町,2019-07-23,16,,ナンバープレート
窃盗,部品ねらい,泉,上飯田,141160,神奈川県,横浜市泉区,上飯田町,2019-07-25,18,,ナンバープレート
窃盗,部品ねらい,泉,上飯田,141160,神奈川県,横浜市泉区,上飯田町,2019-08-12,21,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,泉,上飯田,141160,神奈川県,横浜市泉区,上飯田町,2019-08-30,18,,ナンバープレート
窃盗,部品ねらい,泉,上飯田,141160,神奈川県,横浜市泉区,上飯田町,2019-10-15,18,,タイヤ・ホイール
窃盗,部品ねらい,泉,上飯田,141160,神奈川県,横浜市泉区,上飯田町,2019-11-12,20,,タイヤ・ホイール
窃盗,部品ねらい,泉,上飯田,141160,神奈川県,横浜市泉区,上飯田町,2019-12-04,09,,ナンバープレート
窃盗,部品ねらい,泉,上飯田,141160,神奈川県,横浜市泉区,上飯田町,2019-12-14,21,,タイヤ・ホイール
窃盗,部品ねらい,泉,いずみ野駅前,141160,神奈川県,横浜市泉区,和泉町,2019-01-14,15,,ナンバープレート
窃盗,部品ねらい,泉,いずみ野駅前,141160,神奈川県,横浜市泉区,和泉町,2019-02-16,19,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,泉,いずみ野駅前,141160,神奈川県,横浜市泉区,和泉町,2019-03-23,07,,ナンバープレート
窃盗,部品ねらい,泉,いずみ野駅前,141160,神奈川県,横浜市泉区,和泉町,2019-08-31,11,その他,その他
窃盗,部品ねらい,泉,いずみ野駅前,141160,神奈川県,横浜市泉区,和泉町,2019-09-25,11,,その他
窃盗,部品ねらい,泉,いずみ野駅前,141160,神奈川県,横浜市泉区,和泉町,2019-10-09,12,,その他
窃盗,部品ねらい,泉,いずみ野駅前,141160,神奈川県,横浜市泉区,上飯田町,2019-04-26,19,,ナンバープレート
窃盗,部品ねらい,泉,いずみ野駅前,141160,神奈川県,横浜市泉区,上飯田町,2019-05-22,14,,ナンバープレート
窃盗,部品ねらい,泉,いちょう団地,141160,神奈川県,横浜市泉区,上飯田町,2019-03-26,20,４階建て以上共同住宅,その他
窃盗,部品ねらい,泉,いちょう団地,141160,神奈川県,横浜市泉区,上飯田町,2019-06-26,17,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,泉,いちょう団地,141160,神奈川県,横浜市泉区,上飯田町,2019-07-16,19,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,泉,いちょう団地,141160,神奈川県,横浜市泉区,上飯田町,2019-08-11,14,,ナンバープレート
窃盗,部品ねらい,泉,いちょう団地,141160,神奈川県,横浜市泉区,上飯田町,2019-09-09,18,駐車（輪）場,その他
窃盗,部品ねらい,泉,いちょう団地,141160,神奈川県,横浜市泉区,上飯田町,2019-09-27,17,駐車（輪）場,その他
窃盗,部品ねらい,泉,いちょう団地,141160,神奈川県,横浜市泉区,上飯田町,2019-10-13,17,４階建て以上共同住宅,その他
窃盗,部品ねらい,泉,いちょう団地,141160,神奈川県,横浜市泉区,上飯田町,2019-10-18,18,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,泉,弥生台駅前,141160,神奈川県,横浜市泉区,岡津町,2018-12-30,14,一戸建住宅,その他
窃盗,部品ねらい,泉,弥生台駅前,141160,神奈川県,横浜市泉区,岡津町,2019-01-01,06,,ナンバープレート
窃盗,部品ねらい,泉,弥生台駅前,141160,神奈川県,横浜市泉区,岡津町,2019-01-26,23,一戸建住宅,ナンバープレート
窃盗,部品ねらい,泉,弥生台駅前,141160,神奈川県,横浜市泉区,新橋町,2019-11-16,18,一戸建住宅,ナンバープレート
窃盗,部品ねらい,泉,弥生台駅前,141160,神奈川県,横浜市泉区,領家２丁目,2019-08-24,17,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,泉,弥生台駅前,141160,神奈川県,横浜市泉区,領家４丁目,2019-10-30,23,,ナンバープレート
窃盗,部品ねらい,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,戸塚町,2019-01-27,14,,ナンバープレート
窃盗,部品ねらい,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,戸塚町,2019-03-28,21,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,戸塚町,2019-07-02,07,駐車（輪）場,その他
窃盗,部品ねらい,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,戸塚町,2019-08-30,22,一戸建住宅,ナンバープレート
窃盗,部品ねらい,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,戸塚町,2019-09-17,07,駐車（輪）場,その他
窃盗,部品ねらい,戸塚,踊場,141101,神奈川県,横浜市戸塚区,戸塚町,2019-08-22,08,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,戸塚,踊場,141101,神奈川県,横浜市戸塚区,矢部町,2019-11-04,23,,ナンバープレート
窃盗,部品ねらい,戸塚,踊場,141101,神奈川県,横浜市戸塚区,汲沢２丁目,2017-06-23,12,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,戸塚,踊場,141101,神奈川県,横浜市戸塚区,汲沢３丁目,2019-08-09,11,,ナンバープレート
窃盗,部品ねらい,戸塚,不動坂,141101,神奈川県,横浜市戸塚区,柏尾町,2019-04-27,12,,ナンバープレート
窃盗,部品ねらい,戸塚,不動坂,141101,神奈川県,横浜市戸塚区,柏尾町,2019-08-02,22,,ナンバープレート
窃盗,部品ねらい,戸塚,不動坂,141101,神奈川県,横浜市戸塚区,上矢部町,2019-10-22,20,駐車（輪）場,その他
窃盗,部品ねらい,戸塚,不動坂,141101,神奈川県,横浜市戸塚区,舞岡町,2019-05-03,06,その他,ナンバープレート
窃盗,部品ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,小雀町,2019-11-17,15,その他,ナンバープレート
窃盗,部品ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,戸塚町,2019-08-30,20,,ナンバープレート
窃盗,部品ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,戸塚町,2019-08-31,01,,ナンバープレート
窃盗,部品ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,東俣野町,2019-05-10,18,,タイヤ・ホイール
窃盗,部品ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,東俣野町,2019-05-24,16,一戸建住宅,ナンバープレート
窃盗,部品ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,東俣野町,2019-08-26,20,その他,タイヤ・ホイール
窃盗,部品ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,深谷町,2019-09-01,15,,ナンバープレート
窃盗,部品ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,俣野町,2019-04-24,18,,ナンバープレート
窃盗,部品ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,原宿３丁目,2019-04-26,13,,ナンバープレート
窃盗,部品ねらい,戸塚,柏尾,141101,神奈川県,横浜市戸塚区,秋葉町,2019-11-09,12,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,戸塚,柏尾,141101,神奈川県,横浜市戸塚区,前田町,2019-03-31,16,,ナンバープレート
窃盗,部品ねらい,戸塚,平戸,141101,神奈川県,横浜市戸塚区,平戸４丁目,2019-03-31,19,,ナンバープレート
窃盗,部品ねらい,戸塚,上矢部,141101,神奈川県,横浜市戸塚区,上矢部町,2019-01-31,17,その他の住宅（３階建て以下共同住宅等）,タイヤ・ホイール
窃盗,部品ねらい,戸塚,上矢部,141101,神奈川県,横浜市戸塚区,上矢部町,2019-05-31,16,,ナンバープレート
窃盗,部品ねらい,戸塚,上矢部,141101,神奈川県,横浜市戸塚区,上矢部町,2019-09-08,05,,ナンバープレート
窃盗,部品ねらい,戸塚,上矢部,141101,神奈川県,横浜市戸塚区,名瀬町,2019-07-01,13,,タイヤ・ホイール
窃盗,部品ねらい,戸塚,深谷,141101,神奈川県,横浜市戸塚区,汲沢町,2019-01-22,16,,ナンバープレート
窃盗,部品ねらい,戸塚,深谷,141101,神奈川県,横浜市戸塚区,汲沢町,2019-08-20,23,,ナンバープレート
窃盗,部品ねらい,戸塚,深谷,141101,神奈川県,横浜市戸塚区,汲沢町,2019-09-12,17,,ナンバープレート
窃盗,部品ねらい,戸塚,深谷,141101,神奈川県,横浜市戸塚区,深谷町,2019-04-09,17,,ナンバープレート
窃盗,部品ねらい,戸塚,深谷,141101,神奈川県,横浜市戸塚区,深谷町,2019-05-26,16,,ナンバープレート
窃盗,部品ねらい,戸塚,深谷,141101,神奈川県,横浜市戸塚区,深谷町,2019-08-28,17,一戸建住宅,ナンバープレート
窃盗,部品ねらい,戸塚,深谷,141101,神奈川県,横浜市戸塚区,深谷町,2019-08-28,23,,ナンバープレート
窃盗,部品ねらい,戸塚,深谷,141101,神奈川県,横浜市戸塚区,深谷町,2019-12-29,17,,その他
窃盗,部品ねらい,戸塚,深谷,141101,神奈川県,横浜市戸塚区,俣野町,2019-04-26,20,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,戸塚,深谷,141101,神奈川県,横浜市戸塚区,俣野町,2019-08-04,11,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,戸塚,深谷,141101,神奈川県,横浜市戸塚区,俣野町,2019-10-09,18,,タイヤ・ホイール
窃盗,部品ねらい,戸塚,東戸塚駅前,141101,神奈川県,横浜市戸塚区,川上町,2019-04-15,15,,ナンバープレート
窃盗,部品ねらい,戸塚,舞岡,141101,神奈川県,横浜市戸塚区,舞岡町,2019-12-20,19,一戸建住宅,タイヤ・ホイール
