罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,現金被害の有無
窃盗,車上ねらい,南,永田,141054,神奈川県,横浜市南区,永田北３丁目,2020-05-11,17,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,永田,141054,神奈川県,横浜市南区,永田北３丁目,2020-05-27,20,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,永田,141054,神奈川県,横浜市南区,永田台,2020-08-10,19,道路上,その他,施錠した,なし
窃盗,車上ねらい,南,永田,141054,神奈川県,横浜市南区,永田東２丁目,2020-05-06,18,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,六ツ川,141054,神奈川県,横浜市南区,六ツ川１丁目,2020-06-02,17,一戸建住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,別所町,141054,神奈川県,横浜市南区,別所２丁目,2020-03-01,09,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,別所町,141054,神奈川県,横浜市南区,別所２丁目,2020-09-03,08,その他,その他,施錠した,あり
窃盗,車上ねらい,南,別所町,141054,神奈川県,横浜市南区,別所２丁目,2020-11-27,21,一戸建住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,南,別所町,141054,神奈川県,横浜市南区,別所中里台,2020-04-03,22,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,大池,141054,神奈川県,横浜市南区,永田台,2019-12-28,17,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,大池,141054,神奈川県,横浜市南区,六ツ川２丁目,2020-06-13,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,大池,141054,神奈川県,横浜市南区,六ツ川２丁目,2020-06-28,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,南,大池,141054,神奈川県,横浜市南区,六ツ川２丁目,2020-08-10,17,一戸建住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,南,大池,141054,神奈川県,横浜市南区,六ツ川３丁目,2020-05-12,19,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,大池,141054,神奈川県,横浜市南区,六ツ川４丁目,2020-01-25,22,一戸建住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,南,大池,141054,神奈川県,横浜市南区,六ツ川４丁目,2020-04-11,19,一戸建住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,通町,141054,神奈川県,横浜市南区,大岡１丁目,2020-05-15,20,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,通町,141054,神奈川県,横浜市南区,大岡２丁目,2020-08-10,10,一戸建住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,南,通町,141054,神奈川県,横浜市南区,大岡２丁目,2020-09-19,10,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,浦舟町,141054,神奈川県,横浜市南区,白妙町１丁目,2020-01-23,19,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,浦舟町,141054,神奈川県,横浜市南区,高根町２丁目,2020-11-25,18,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,大和,大和駅前,142131,神奈川県,大和市,上草柳１丁目,2020-12-27,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,大和,大和駅前,142131,神奈川県,大和市,中央２丁目,2020-11-18,21,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,大和,鶴間駅前,142131,神奈川県,大和市,鶴間１丁目,2020-02-03,22,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,大和,鶴間駅前,142131,神奈川県,大和市,鶴間１丁目,2020-03-02,15,一戸建住宅,その他,施錠した,なし
窃盗,車上ねらい,大和,鶴間駅前,142131,神奈川県,大和市,鶴間１丁目,2020-09-27,20,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,大和,鶴間駅前,142131,神奈川県,大和市,鶴間２丁目,2020-09-27,21,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,大和,鶴間駅前,142131,神奈川県,大和市,深見,2020-02-05,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,大和,鶴間駅前,142131,神奈川県,大和市,深見東３丁目,2020-01-04,19,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,大和,つきみ野駅前,142131,神奈川県,大和市,下鶴間,2020-01-25,19,一戸建住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,大和,つきみ野駅前,142131,神奈川県,大和市,下鶴間,2020-07-19,18,一戸建住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,大和,つきみ野駅前,142131,神奈川県,大和市,下鶴間,2020-10-31,20,一戸建住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,大和,つきみ野駅前,142131,神奈川県,大和市,つきみ野８丁目,2020-11-10,19,一戸建住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,大和,中央林間,142131,神奈川県,大和市,,2020-05-17,17,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,大和,中央林間,142131,神奈川県,大和市,中央林間６丁目,2020-07-17,16,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,大和,中央林間,142131,神奈川県,大和市,中央林間西４丁目,2020-08-15,18,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,大和,桜ヶ丘,142131,神奈川県,大和市,上和田,2020-05-07,21,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,大和,桜ヶ丘,142131,神奈川県,大和市,上和田,2020-11-23,07,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,大和,桜ヶ丘,142131,神奈川県,大和市,福田１丁目,2020-07-23,19,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,大和,桜ヶ丘,142131,神奈川県,大和市,福田１丁目,2020-12-23,15,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,大和,桜ヶ丘,142131,神奈川県,大和市,福田２丁目,2020-10-29,23,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,大和,桜ヶ丘,142131,神奈川県,大和市,福田４丁目,2020-11-01,15,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,大和,桜ヶ丘,142131,神奈川県,大和市,福田４丁目,2020-11-03,23,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,大和,桜ヶ丘,142131,神奈川県,大和市,福田４丁目,2020-12-02,15,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,大和,福田,142131,神奈川県,大和市,上和田,2020-11-04,01,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,大和,福田,142131,神奈川県,大和市,下和田,2020-05-16,20,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,大和,福田,142131,神奈川県,大和市,下和田,2020-10-25,17,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,大和,福田,142131,神奈川県,大和市,福田,2020-07-11,19,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,大和,福田,142131,神奈川県,大和市,福田,2020-07-29,11,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,大和,福田,142131,神奈川県,大和市,福田,2020-07-29,21,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,大和,福田,142131,神奈川県,大和市,福田,2020-11-08,18,その他,その他,施錠した,あり
窃盗,車上ねらい,大和,福田,142131,神奈川県,大和市,渋谷５丁目,2020-10-04,20,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,大和,福田,142131,神奈川県,大和市,渋谷６丁目,2020-04-26,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,大和,上土棚,142182,神奈川県,綾瀬市,上土棚北４丁目,2020-03-04,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,大和,上土棚,142182,神奈川県,綾瀬市,落合南２丁目,2020-05-12,16,一戸建住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,大和,寺尾,142182,神奈川県,綾瀬市,大上１丁目,2020-06-06,15,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,大和,寺尾,142182,神奈川県,綾瀬市,寺尾南２丁目,2020-04-07,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,大和,寺尾,142182,神奈川県,綾瀬市,寺尾台２丁目,2020-11-27,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,大和,寺尾,142182,神奈川県,綾瀬市,寺尾台３丁目,2020-04-07,18,一戸建住宅,その他,施錠した,なし
窃盗,車上ねらい,大和,深谷,142182,神奈川県,綾瀬市,深谷中３丁目,2020-04-05,03,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,大和,深谷,142182,神奈川県,綾瀬市,深谷南５丁目,2020-11-08,06,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,大和,下鶴間,142131,神奈川県,大和市,下鶴間,2020-01-08,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,大和,下鶴間,142131,神奈川県,大和市,下鶴間,2020-01-22,18,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,大和,下鶴間,142131,神奈川県,大和市,下鶴間,2020-03-09,15,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,大和,下鶴間,142131,神奈川県,大和市,下鶴間,2020-05-16,18,一戸建住宅,その他,施錠した,なし
窃盗,車上ねらい,大和,綾瀬地区,142182,神奈川県,綾瀬市,吉岡,2020-07-09,09,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,泉,中田,141160,神奈川県,横浜市泉区,中田東１丁目,2020-10-21,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,泉,中田,141160,神奈川県,横浜市泉区,中田北１丁目,2020-10-22,07,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,泉,中田,141160,神奈川県,横浜市泉区,中田南３丁目,2020-12-27,21,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,泉,中田,141160,神奈川県,横浜市泉区,中田南５丁目,2020-02-09,15,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,泉,和泉,141160,神奈川県,横浜市泉区,和泉町,2020-01-15,22,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,泉,和泉,141160,神奈川県,横浜市泉区,和泉中央北１丁目,2020-03-29,21,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,泉,和泉,141160,神奈川県,横浜市泉区,和泉中央北５丁目,2020-11-01,12,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,泉,下和泉,141160,神奈川県,横浜市泉区,下飯田町,2020-10-21,18,一戸建住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,泉,緑園都市駅前,141160,神奈川県,横浜市泉区,池の谷,2020-05-11,18,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,泉,緑園都市駅前,141160,神奈川県,横浜市泉区,岡津町,2020-10-15,19,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,泉,緑園都市駅前,141160,神奈川県,横浜市泉区,新橋町,2020-06-28,19,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,泉,緑園都市駅前,141160,神奈川県,横浜市泉区,緑園６丁目,2020-05-11,15,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,泉,緑園都市駅前,141160,神奈川県,横浜市泉区,緑園６丁目,2020-07-07,23,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,泉,上飯田,141160,神奈川県,横浜市泉区,和泉町,2020-06-13,19,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,泉,上飯田,141160,神奈川県,横浜市泉区,上飯田町,2020-01-15,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,泉,上飯田,141160,神奈川県,横浜市泉区,上飯田町,2020-04-05,11,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,泉,上飯田,141160,神奈川県,横浜市泉区,上飯田町,2020-07-20,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,泉,上飯田,141160,神奈川県,横浜市泉区,上飯田町,2020-11-23,17,一戸建住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,泉,いずみ野駅前,141160,神奈川県,横浜市泉区,和泉町,2020-05-08,18,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,泉,いずみ野駅前,141160,神奈川県,横浜市泉区,和泉町,2020-08-09,18,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,泉,いずみ野駅前,141160,神奈川県,横浜市泉区,和泉町,2020-11-03,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,泉,いずみ野駅前,141160,神奈川県,横浜市泉区,和泉町,2020-11-21,19,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,泉,いずみ野駅前,141160,神奈川県,横浜市泉区,上飯田町,2020-03-19,20,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,泉,いずみ野駅前,141160,神奈川県,横浜市泉区,上飯田町,2020-05-08,14,一戸建住宅,その他,施錠した,あり
窃盗,車上ねらい,泉,いずみ野駅前,141160,神奈川県,横浜市泉区,上飯田町,2020-11-23,22,一戸建住宅,その他,施錠した,あり
窃盗,車上ねらい,泉,弥生台駅前,141160,神奈川県,横浜市泉区,岡津町,2020-03-22,16,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,泉,弥生台駅前,141160,神奈川県,横浜市泉区,新橋町,2019-12-30,20,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,矢部町,2020-09-02,13,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸塚,踊場,141101,神奈川県,横浜市戸塚区,鳥が丘,2020-10-19,12,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸塚,踊場,141101,神奈川県,横浜市戸塚区,矢部町,2020-09-13,22,４階建て以上共同住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,戸塚,踊場,141101,神奈川県,横浜市戸塚区,汲沢１丁目,2020-08-05,19,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸塚,不動坂,141101,神奈川県,横浜市戸塚区,柏尾町,2020-02-08,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,戸塚町,2020-04-06,11,道路上,その他,施錠した,なし
窃盗,車上ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,東俣野町,2020-04-25,19,一戸建住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,東俣野町,2020-04-25,22,一戸建住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,俣野町,2020-01-06,12,その他,その他,施錠した,なし
窃盗,車上ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,原宿２丁目,2020-01-05,16,一戸建住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸塚,柏尾,141101,神奈川県,横浜市戸塚区,上柏尾町,2020-02-17,22,一戸建住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,戸塚,柏尾,141101,神奈川県,横浜市戸塚区,上柏尾町,2020-09-23,22,一戸建住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,戸塚,柏尾,141101,神奈川県,横浜市戸塚区,前田町,2020-05-06,16,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸塚,柏尾,141101,神奈川県,横浜市戸塚区,前田町,2020-11-20,20,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸塚,柏尾,141101,神奈川県,横浜市戸塚区,前田町,2020-12-01,20,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,戸塚,平戸,141101,神奈川県,横浜市戸塚区,平戸町,2020-06-13,17,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸塚,平戸,141101,神奈川県,横浜市戸塚区,平戸町,2020-09-01,23,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸塚,平戸,141101,神奈川県,横浜市戸塚区,平戸町,2020-09-02,18,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸塚,平戸,141101,神奈川県,横浜市戸塚区,平戸町,2020-09-23,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸塚,平戸,141101,神奈川県,横浜市戸塚区,平戸町,2020-10-18,11,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸塚,平戸,141101,神奈川県,横浜市戸塚区,平戸町,2020-10-21,16,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸塚,平戸,141101,神奈川県,横浜市戸塚区,平戸町,2020-10-21,19,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸塚,平戸,141101,神奈川県,横浜市戸塚区,平戸町,2020-12-24,20,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸塚,平戸,141101,神奈川県,横浜市戸塚区,平戸１丁目,2020-05-18,18,一戸建住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸塚,平戸,141101,神奈川県,横浜市戸塚区,平戸３丁目,2020-06-09,23,その他の住宅（３階建て以下共同住宅等）,その他,施錠した,あり
窃盗,車上ねらい,戸塚,平戸,141101,神奈川県,横浜市戸塚区,平戸４丁目,2020-04-21,12,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸塚,平戸,141101,神奈川県,横浜市戸塚区,平戸４丁目,2020-10-23,19,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸塚,平戸,141101,神奈川県,横浜市戸塚区,平戸４丁目,2020-10-25,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸塚,平戸,141101,神奈川県,横浜市戸塚区,平戸５丁目,2020-03-27,18,一戸建住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,戸塚,上矢部,141101,神奈川県,横浜市戸塚区,上矢部町,2020-05-06,23,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸塚,上矢部,141101,神奈川県,横浜市戸塚区,上矢部町,2020-09-12,17,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸塚,上矢部,141101,神奈川県,横浜市戸塚区,上矢部町,2020-10-03,21,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,戸塚,上矢部,141101,神奈川県,横浜市戸塚区,名瀬町,2020-05-17,18,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸塚,深谷,141101,神奈川県,横浜市戸塚区,汲沢４丁目,2020-10-14,12,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸塚,東戸塚駅前,141101,神奈川県,横浜市戸塚区,川上町,2020-05-20,19,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,戸塚,東戸塚駅前,141101,神奈川県,横浜市戸塚区,川上町,2020-09-10,16,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸塚,東戸塚駅前,141101,神奈川県,横浜市戸塚区,品濃町,2020-01-24,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸塚,舞岡,141101,神奈川県,横浜市戸塚区,舞岡町,2020-03-23,21,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸塚,舞岡,141101,神奈川県,横浜市戸塚区,舞岡町,2020-04-18,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸塚,舞岡,141101,神奈川県,横浜市戸塚区,舞岡町,2020-07-22,13,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,戸塚,舞岡,141101,神奈川県,横浜市戸塚区,舞岡町,2020-09-18,22,道路上,その他,施錠した,なし
窃盗,車上ねらい,戸塚,舞岡,141101,神奈川県,横浜市戸塚区,南舞岡１丁目,2020-09-18,16,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸塚,戸塚駅東口,141101,神奈川県,横浜市戸塚区,上倉田町,2020-05-10,20,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸塚,戸塚駅東口,141101,神奈川県,横浜市戸塚区,上倉田町,2020-05-17,16,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸塚,戸塚駅東口,141101,神奈川県,横浜市戸塚区,上倉田町,2020-05-17,17,一戸建住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,戸塚,戸塚駅東口,141101,神奈川県,横浜市戸塚区,吉田町,2020-09-18,20,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,旭,鶴ケ峰,141127,神奈川県,横浜市旭区,川島町,2020-01-28,22,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,旭,鶴ケ峰,141127,神奈川県,横浜市旭区,川島町,2020-04-08,12,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,旭,鶴ケ峰,141127,神奈川県,横浜市旭区,四季美台,2020-10-10,19,一戸建住宅,駐車（輪）場,施錠した,あり
