罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,現金被害の有無
窃盗,自動販売機ねらい,神奈川,東神奈川駅前,141020,神奈川県,横浜市神奈川区,神奈川本町,2018-11-30,10,その他,あり
窃盗,自動販売機ねらい,神奈川,入江,141020,神奈川県,横浜市神奈川区,入江１丁目,2018-11-15,10,道路上,あり
窃盗,自動販売機ねらい,神奈川,西神奈川,141020,神奈川県,横浜市神奈川区,平川町,2018-02-26,15,その他,あり
窃盗,自動販売機ねらい,神奈川,六角橋,141020,神奈川県,横浜市神奈川区,西神奈川３丁目,2018-02-27,12,その他,なし
窃盗,自動販売機ねらい,神奈川,神大寺,141020,神奈川県,横浜市神奈川区,三枚町,2018-12-04,15,その他,あり
窃盗,自動販売機ねらい,神奈川,三ツ沢,141020,神奈川県,横浜市神奈川区,三ツ沢中町,2018-02-28,00,その他,なし
窃盗,自動販売機ねらい,神奈川,三ツ沢,141020,神奈川県,横浜市神奈川区,三ツ沢南町,2018-12-14,23,その他,あり
窃盗,自動販売機ねらい,鶴見,鶴見駅前,141011,神奈川県,横浜市鶴見区,鶴見中央３丁目,2018-10-30,19,駐車（輪）場,なし
窃盗,自動販売機ねらい,鶴見,鶴見駅前,141011,神奈川県,横浜市鶴見区,鶴見中央３丁目,2018-11-14,09,その他,あり
窃盗,自動販売機ねらい,鶴見,鶴見駅前,141011,神奈川県,横浜市鶴見区,鶴見中央３丁目,2018-11-14,18,その他,あり
窃盗,自動販売機ねらい,鶴見,潮田,141011,神奈川県,横浜市鶴見区,向井町３丁目,2018-07-27,10,駐車（輪）場,あり
窃盗,自動販売機ねらい,鶴見,本町通,141011,神奈川県,横浜市鶴見区,小野町,2018-09-30,13,その他,なし
窃盗,自動販売機ねらい,鶴見,本町通,141011,神奈川県,横浜市鶴見区,小野町,2018-10-07,12,その他,なし
窃盗,自動販売機ねらい,鶴見,本町通,141011,神奈川県,横浜市鶴見区,汐入町１丁目,2018-02-13,18,その他,あり
窃盗,自動販売機ねらい,鶴見,原,141011,神奈川県,横浜市鶴見区,大黒町,2018-10-01,22,道路上,あり
窃盗,自動販売機ねらい,鶴見,原,141011,神奈川県,横浜市鶴見区,大黒町,2018-10-05,19,その他,あり
窃盗,自動販売機ねらい,鶴見,原,141011,神奈川県,横浜市鶴見区,大黒ふ頭,2018-07-13,20,その他,あり
窃盗,自動販売機ねらい,鶴見,市場,141011,神奈川県,横浜市鶴見区,市場富士見町,2018-09-01,20,その他,なし
窃盗,自動販売機ねらい,鶴見,矢向駅前,141011,神奈川県,横浜市鶴見区,江ケ崎町,2018-04-21,20,その他,あり
窃盗,自動販売機ねらい,鶴見,上末吉,141011,神奈川県,横浜市鶴見区,梶山２丁目,2018-08-17,11,その他,あり
窃盗,自動販売機ねらい,鶴見,駒岡,141011,神奈川県,横浜市鶴見区,駒岡２丁目,2018-08-17,21,その他,あり
窃盗,自動販売機ねらい,鶴見,駒岡,141011,神奈川県,横浜市鶴見区,駒岡４丁目,2018-02-05,17,駐車（輪）場,あり
窃盗,自動販売機ねらい,港南,港南台駅前,141119,神奈川県,横浜市港南区,港南台３丁目,2017-12-27,11,その他,あり
窃盗,自動販売機ねらい,港南,港南台駅前,141119,神奈川県,横浜市港南区,港南台３丁目,2018-01-05,09,その他,あり
窃盗,自動販売機ねらい,港南,港南台駅前,141119,神奈川県,横浜市港南区,港南台３丁目,2018-11-09,16,その他,なし
窃盗,自動販売機ねらい,港南,港南台駅前,141119,神奈川県,横浜市港南区,港南台４丁目,2018-02-27,13,駐車（輪）場,あり
窃盗,自動販売機ねらい,港南,港南台駅前,141119,神奈川県,横浜市港南区,日野８丁目,2018-01-29,17,その他,あり
窃盗,自動販売機ねらい,港南,上永谷駅前,141119,神奈川県,横浜市港南区,丸山台１丁目,2018-10-01,16,駐車（輪）場,あり
窃盗,自動販売機ねらい,緑,長津田駅前,141135,神奈川県,横浜市緑区,長津田町,2018-03-14,17,駐車（輪）場,あり
窃盗,自動販売機ねらい,緑,十日市場駅前,141135,神奈川県,横浜市緑区,十日市場町,2018-02-27,06,その他,あり
窃盗,自動販売機ねらい,緑,鴨居駅前,141135,神奈川県,横浜市緑区,白山２丁目,2018-05-24,19,その他,あり
窃盗,自動販売機ねらい,緑,霧が丘,141135,神奈川県,横浜市緑区,霧が丘１丁目,2018-02-26,10,その他,あり
窃盗,自動販売機ねらい,緑,中山駅前,141135,神奈川県,横浜市緑区,寺山町,2018-07-07,12,その他,あり
窃盗,自動販売機ねらい,横浜水上,山下ふ頭,141046,神奈川県,横浜市中区,山下町,2018-07-26,08,その他,あり
窃盗,自動販売機ねらい,横浜水上,新港町,141046,神奈川県,横浜市中区,新港２丁目,2018-07-28,03,その他,なし
窃盗,自動販売機ねらい,港北,菊名駅前,141097,神奈川県,横浜市港北区,菊名７丁目,2018-12-21,17,その他,あり
窃盗,自動販売機ねらい,港北,菊名駅前,141097,神奈川県,横浜市港北区,篠原北１丁目,2018-02-04,02,その他,あり
窃盗,自動販売機ねらい,港北,大倉山,141097,神奈川県,横浜市港北区,大倉山６丁目,2018-05-04,23,その他,なし
窃盗,自動販売機ねらい,港北,樽町,141097,神奈川県,横浜市港北区,大曽根１丁目,2018-01-12,22,その他,あり
窃盗,自動販売機ねらい,港北,樽町,141097,神奈川県,横浜市港北区,大曽根１丁目,2018-06-18,12,その他,あり
窃盗,自動販売機ねらい,港北,日吉本町,141097,神奈川県,横浜市港北区,箕輪町３丁目,2018-11-08,14,その他,あり
窃盗,自動販売機ねらい,港北,日吉駅前,141097,神奈川県,横浜市港北区,日吉２丁目,2018-11-24,17,その他,あり
窃盗,自動販売機ねらい,港北,吉田口,141097,神奈川県,横浜市港北区,新吉田東６丁目,2018-10-11,17,その他,あり
窃盗,自動販売機ねらい,港北,小机,141097,神奈川県,横浜市港北区,小机町,2018-12-22,03,その他,あり
窃盗,自動販売機ねらい,港北,新横浜駅前,141097,神奈川県,横浜市港北区,篠原町,2017-08-13,08,その他,なし
窃盗,自動販売機ねらい,港北,新横浜駅前,141097,神奈川県,横浜市港北区,篠原町,2017-08-14,11,その他,なし
窃盗,自動販売機ねらい,港北,新横浜駅前,141097,神奈川県,横浜市港北区,篠原町,2017-08-15,12,その他,なし
窃盗,自動販売機ねらい,港北,新横浜駅前,141097,神奈川県,横浜市港北区,新横浜１丁目,2018-12-06,21,その他,あり
窃盗,自動販売機ねらい,港北,新横浜駅前,141097,神奈川県,横浜市港北区,新横浜２丁目,2018-06-25,20,駐車（輪）場,あり
窃盗,自動販売機ねらい,港北,新横浜駅前,141097,神奈川県,横浜市港北区,大豆戸町,2018-02-24,19,その他,あり
窃盗,自動販売機ねらい,港北,高田,141097,神奈川県,横浜市港北区,高田西２丁目,2018-02-03,18,その他,あり
窃盗,自動販売機ねらい,港北,新羽駅前,141097,神奈川県,横浜市港北区,新羽町,2017-12-28,08,駐車（輪）場,あり
窃盗,自動販売機ねらい,港北,新羽駅前,141097,神奈川県,横浜市港北区,新羽町,2018-01-20,05,駐車（輪）場,あり
窃盗,自動販売機ねらい,港北,新羽駅前,141097,神奈川県,横浜市港北区,新羽町,2018-03-19,18,その他,あり
窃盗,自動販売機ねらい,港北,新羽駅前,141097,神奈川県,横浜市港北区,新羽町,2018-04-29,20,駐車（輪）場,なし
窃盗,自動販売機ねらい,港北,新羽駅前,141097,神奈川県,横浜市港北区,新羽町,2018-08-25,05,その他,あり
窃盗,自動販売機ねらい,港北,綱島駅前,141097,神奈川県,横浜市港北区,綱島東１丁目,2018-08-23,15,道路上,あり
窃盗,自動販売機ねらい,瀬谷,瀬谷駅前,141143,神奈川県,横浜市瀬谷区,本郷３丁目,2018-10-08,17,その他,なし
窃盗,自動販売機ねらい,瀬谷,目黒,141143,神奈川県,横浜市瀬谷区,北町,2018-06-15,20,その他,あり
窃盗,自動販売機ねらい,瀬谷,目黒,141143,神奈川県,横浜市瀬谷区,目黒町,2018-03-05,03,その他,あり
窃盗,自動販売機ねらい,瀬谷,北新,141143,神奈川県,横浜市瀬谷区,橋戸３丁目,2017-12-14,13,その他,あり
窃盗,自動販売機ねらい,栄,上郷,141151,神奈川県,横浜市栄区,犬山町,2018-03-08,00,その他,あり
窃盗,自動販売機ねらい,青葉,青葉台駅前,141178,神奈川県,横浜市青葉区,松風台,2018-01-06,17,その他,あり
窃盗,自動販売機ねらい,青葉,荏田町,141178,神奈川県,横浜市青葉区,あざみ野南２丁目,2018-10-20,18,その他,あり
窃盗,自動販売機ねらい,青葉,あざみ野駅前,141178,神奈川県,横浜市青葉区,あざみ野１丁目,2018-04-05,13,その他,あり
窃盗,自動販売機ねらい,青葉,あざみ野駅前,141178,神奈川県,横浜市青葉区,あざみ野１丁目,2018-10-26,19,その他,あり
窃盗,自動販売機ねらい,青葉,あざみ野駅前,141178,神奈川県,横浜市青葉区,あざみ野２丁目,2018-08-03,20,その他,あり
窃盗,自動販売機ねらい,青葉,こどもの国駅前,141178,神奈川県,横浜市青葉区,奈良町,2018-01-18,12,その他,あり
窃盗,自動販売機ねらい,都筑,池辺町,141186,神奈川県,横浜市都筑区,池辺町,2018-09-07,18,その他,あり
窃盗,自動販売機ねらい,都筑,中川駅前,141186,神奈川県,横浜市都筑区,中川１丁目,2018-09-18,12,その他,あり
窃盗,自動販売機ねらい,都筑,折本町,141186,神奈川県,横浜市都筑区,川向町,2018-03-10,20,その他,あり
窃盗,自動販売機ねらい,都筑,折本町,141186,神奈川県,横浜市都筑区,川向町,2018-04-23,19,その他,あり
窃盗,自動販売機ねらい,都筑,北山田駅前,141186,神奈川県,横浜市都筑区,大棚町,2018-03-14,21,その他,あり
窃盗,自動販売機ねらい,都筑,北山田駅前,141186,神奈川県,横浜市都筑区,南山田１丁目,2018-03-07,21,その他,あり
窃盗,自動販売機ねらい,川崎,京町通,141313,神奈川県,川崎市川崎区,京町１丁目,2018-12-22,17,駐車（輪）場,あり
窃盗,自動販売機ねらい,川崎,渡田,141313,神奈川県,川崎市川崎区,貝塚２丁目,2018-05-02,13,駐車（輪）場,なし
窃盗,自動販売機ねらい,川崎,渡田,141313,神奈川県,川崎市川崎区,渡田３丁目,2018-02-14,13,その他,あり
窃盗,自動販売機ねらい,川崎,渡田,141313,神奈川県,川崎市川崎区,渡田３丁目,2018-08-07,13,駐車（輪）場,あり
窃盗,自動販売機ねらい,川崎,渡田,141313,神奈川県,川崎市川崎区,渡田向町,2018-08-28,18,駐車（輪）場,あり
窃盗,自動販売機ねらい,川崎,渡田,141313,神奈川県,川崎市川崎区,渡田向町,2018-12-16,21,駐車（輪）場,あり
窃盗,自動販売機ねらい,川崎,渡田,141313,神奈川県,川崎市川崎区,渡田向町,2018-12-23,13,駐車（輪）場,あり
窃盗,自動販売機ねらい,川崎,渡田,141313,神奈川県,川崎市川崎区,渡田向町,2018-12-25,20,駐車（輪）場,あり
窃盗,自動販売機ねらい,川崎,小田,141313,神奈川県,川崎市川崎区,小田３丁目,2018-01-06,06,駐車（輪）場,あり
窃盗,自動販売機ねらい,川崎,小田,141313,神奈川県,川崎市川崎区,小田３丁目,2018-08-17,12,道路上,あり
窃盗,自動販売機ねらい,川崎,小田,141313,神奈川県,川崎市川崎区,小田５丁目,2018-11-12,10,道路上,あり
窃盗,自動販売機ねらい,川崎,浅田,141313,神奈川県,川崎市川崎区,小田４丁目,2018-07-20,12,道路上,あり
窃盗,自動販売機ねらい,川崎,大島町,141313,神奈川県,川崎市川崎区,大島３丁目,2018-01-16,15,駐車（輪）場,あり
窃盗,自動販売機ねらい,川崎,大島町,141313,神奈川県,川崎市川崎区,大島３丁目,2018-01-19,05,駐車（輪）場,あり
窃盗,自動販売機ねらい,川崎,大島町,141313,神奈川県,川崎市川崎区,大島３丁目,2018-09-05,11,その他,あり
窃盗,自動販売機ねらい,川崎,大島町,141313,神奈川県,川崎市川崎区,大島４丁目,2018-01-11,14,駐車（輪）場,あり
窃盗,自動販売機ねらい,川崎,大師駅前,141313,神奈川県,川崎市川崎区,大師駅前１丁目,2018-11-03,03,道路上,あり
窃盗,自動販売機ねらい,川崎,大師駅前,141313,神奈川県,川崎市川崎区,大師駅前１丁目,2018-12-13,12,駐車（輪）場,あり
窃盗,自動販売機ねらい,川崎,大師駅前,141313,神奈川県,川崎市川崎区,大師駅前１丁目,2018-12-16,20,駐車（輪）場,あり
窃盗,自動販売機ねらい,川崎,大師駅前,141313,神奈川県,川崎市川崎区,大師駅前１丁目,2018-12-22,14,駐車（輪）場,あり
窃盗,自動販売機ねらい,川崎,大師駅前,141313,神奈川県,川崎市川崎区,大師町,2018-11-24,02,道路上,なし
窃盗,自動販売機ねらい,川崎,大師駅前,141313,神奈川県,川崎市川崎区,中瀬３丁目,2018-09-13,16,道路上,あり
窃盗,自動販売機ねらい,川崎,藤崎,141313,神奈川県,川崎市川崎区,大島５丁目,2018-05-14,17,道路上,あり
窃盗,自動販売機ねらい,川崎,藤崎,141313,神奈川県,川崎市川崎区,藤崎１丁目,2018-05-08,18,道路上,あり
窃盗,自動販売機ねらい,川崎,藤崎,141313,神奈川県,川崎市川崎区,藤崎１丁目,2018-08-27,14,道路上,あり
窃盗,自動販売機ねらい,川崎,藤崎,141313,神奈川県,川崎市川崎区,藤崎２丁目,2018-10-01,18,道路上,あり
窃盗,自動販売機ねらい,川崎,中島町,141313,神奈川県,川崎市川崎区,旭町２丁目,2018-09-04,20,道路上,あり
窃盗,自動販売機ねらい,川崎,中島町,141313,神奈川県,川崎市川崎区,伊勢町,2018-09-06,13,道路上,あり
窃盗,自動販売機ねらい,川崎,中島町,141313,神奈川県,川崎市川崎区,中島２丁目,2018-08-27,17,その他,あり
窃盗,自動販売機ねらい,川崎,富士見公園,141313,神奈川県,川崎市川崎区,榎町,2018-09-10,15,道路上,あり
窃盗,自動販売機ねらい,川崎,川崎駅前,141313,神奈川県,川崎市川崎区,小川町,2018-12-23,16,駐車（輪）場,あり
窃盗,自動販売機ねらい,川崎,川崎駅前,141313,神奈川県,川崎市川崎区,本町１丁目,2018-09-11,22,道路上,あり
窃盗,自動販売機ねらい,川崎,川崎駅前,141313,神奈川県,川崎市川崎区,本町１丁目,2018-10-10,15,道路上,あり
窃盗,自動販売機ねらい,川崎,川崎駅前,141313,神奈川県,川崎市川崎区,宮本町,2018-10-10,00,道路上,あり
窃盗,自動販売機ねらい,川崎,南町,141313,神奈川県,川崎市川崎区,日進町,2018-01-09,09,駐車（輪）場,あり
窃盗,自動販売機ねらい,川崎臨港,鋼管通,141313,神奈川県,川崎市川崎区,池上新町２丁目,2018-10-05,18,その他,あり
窃盗,自動販売機ねらい,川崎臨港,鋼管通,141313,神奈川県,川崎市川崎区,鋼管通２丁目,2018-10-03,12,その他,あり
窃盗,自動販売機ねらい,川崎臨港,浜町,141313,神奈川県,川崎市川崎区,桜本１丁目,2018-09-13,16,その他,あり
窃盗,自動販売機ねらい,川崎臨港,浜町,141313,神奈川県,川崎市川崎区,浜町２丁目,2018-07-26,21,駐車（輪）場,あり
窃盗,自動販売機ねらい,川崎臨港,浜町,141313,神奈川県,川崎市川崎区,水江町,2018-03-30,19,その他,あり
窃盗,自動販売機ねらい,川崎臨港,出来野,141313,神奈川県,川崎市川崎区,観音１丁目,2018-10-29,01,道路上,あり
窃盗,自動販売機ねらい,川崎臨港,出来野,141313,神奈川県,川崎市川崎区,塩浜１丁目,2018-05-29,10,その他,あり
窃盗,自動販売機ねらい,川崎臨港,出来野,141313,神奈川県,川崎市川崎区,塩浜２丁目,2018-05-30,10,道路上,あり
窃盗,自動販売機ねらい,川崎臨港,出来野,141313,神奈川県,川崎市川崎区,塩浜２丁目,2018-08-18,14,その他,あり
窃盗,自動販売機ねらい,川崎臨港,出来野,141313,神奈川県,川崎市川崎区,塩浜３丁目,2018-01-27,17,その他,あり
窃盗,自動販売機ねらい,川崎臨港,出来野,141313,神奈川県,川崎市川崎区,昭和２丁目,2018-09-05,12,その他,あり
窃盗,自動販売機ねらい,川崎臨港,出来野,141313,神奈川県,川崎市川崎区,台町,2018-09-29,18,その他,あり
窃盗,自動販売機ねらい,川崎臨港,出来野,141313,神奈川県,川崎市川崎区,台町,2018-11-23,14,その他,あり
窃盗,自動販売機ねらい,川崎臨港,出来野,141313,神奈川県,川崎市川崎区,出来野,2018-09-11,14,その他,あり
窃盗,自動販売機ねらい,川崎臨港,出来野,141313,神奈川県,川崎市川崎区,出来野,2018-10-30,16,その他,あり
窃盗,自動販売機ねらい,川崎臨港,出来野,141313,神奈川県,川崎市川崎区,殿町１丁目,2018-01-15,10,その他,あり
窃盗,自動販売機ねらい,川崎臨港,出来野,141313,神奈川県,川崎市川崎区,東扇島,2018-05-15,20,その他,あり
窃盗,自動販売機ねらい,川崎臨港,出来野,141313,神奈川県,川崎市川崎区,東扇島,2018-11-26,13,その他,あり
窃盗,自動販売機ねらい,川崎臨港,出来野,141313,神奈川県,川崎市川崎区,日ノ出２丁目,2017-12-31,17,その他,あり
窃盗,自動販売機ねらい,川崎臨港,出来野,141313,神奈川県,川崎市川崎区,日ノ出２丁目,2018-05-12,19,その他,あり
窃盗,自動販売機ねらい,川崎臨港,出来野,141313,神奈川県,川崎市川崎区,日ノ出２丁目,2018-09-06,19,その他,あり
窃盗,自動販売機ねらい,川崎臨港,出来野,141313,神奈川県,川崎市川崎区,夜光１丁目,2018-11-10,16,その他,あり
窃盗,自動販売機ねらい,川崎臨港,浮島橋,141313,神奈川県,川崎市川崎区,東扇島,2018-04-08,22,その他,あり
窃盗,自動販売機ねらい,中原,武蔵小杉駅前,141330,神奈川県,川崎市中原区,小杉町３丁目,2017-12-31,09,駐車（輪）場,あり
窃盗,自動販売機ねらい,中原,武蔵小杉駅前,141330,神奈川県,川崎市中原区,小杉町３丁目,2018-01-13,10,その他,あり
窃盗,自動販売機ねらい,中原,武蔵小杉駅前,141330,神奈川県,川崎市中原区,小杉町３丁目,2018-01-15,21,その他,なし
窃盗,自動販売機ねらい,中原,武蔵小杉駅前,141330,神奈川県,川崎市中原区,小杉町３丁目,2018-01-22,05,駐車（輪）場,あり
窃盗,自動販売機ねらい,中原,小杉,141330,神奈川県,川崎市中原区,小杉町２丁目,2018-03-02,11,その他,あり
窃盗,自動販売機ねらい,中原,小杉,141330,神奈川県,川崎市中原区,等々力,2018-03-16,20,その他,あり
窃盗,自動販売機ねらい,中原,宮内,141330,神奈川県,川崎市中原区,宮内４丁目,2018-10-06,19,その他,あり
窃盗,自動販売機ねらい,中原,武蔵新城駅前,141330,神奈川県,川崎市中原区,上新城２丁目,2018-04-05,03,その他,あり
窃盗,自動販売機ねらい,中原,武蔵新城駅前,141330,神奈川県,川崎市中原区,下新城１丁目,2018-11-07,23,その他,あり
窃盗,自動販売機ねらい,中原,武蔵新城駅前,141330,神奈川県,川崎市中原区,新城中町,2018-11-07,18,その他,あり
窃盗,自動販売機ねらい,中原,井田,141330,神奈川県,川崎市中原区,井田３丁目,2018-12-15,20,その他,あり
窃盗,自動販売機ねらい,中原,木月,141330,神奈川県,川崎市中原区,木月祗園町,2018-11-22,22,その他,あり
窃盗,自動販売機ねらい,中原,中丸子,141330,神奈川県,川崎市中原区,市ノ坪,2018-01-03,17,その他,あり
窃盗,自動販売機ねらい,中原,中丸子,141330,神奈川県,川崎市中原区,市ノ坪,2018-04-05,19,その他,あり
窃盗,自動販売機ねらい,中原,中丸子,141330,神奈川県,川崎市中原区,中丸子,2018-03-05,12,その他,あり
窃盗,自動販売機ねらい,中原,丸子橋,141330,神奈川県,川崎市中原区,上丸子八幡町,2018-12-25,16,その他,あり
窃盗,自動販売機ねらい,中原,丸子橋,141330,神奈川県,川崎市中原区,丸子通２丁目,2018-10-06,10,その他,あり
窃盗,自動販売機ねらい,中原,下小田中,141330,神奈川県,川崎市中原区,下小田中２丁目,2018-08-01,14,道路上,あり
窃盗,自動販売機ねらい,中原,下小田中,141330,神奈川県,川崎市中原区,下小田中３丁目,2018-06-02,22,その他,あり
窃盗,自動販売機ねらい,中原,下小田中,141330,神奈川県,川崎市中原区,下小田中３丁目,2018-09-29,19,その他,あり
窃盗,自動販売機ねらい,中原,下小田中,141330,神奈川県,川崎市中原区,下小田中３丁目,2018-12-16,16,駐車（輪）場,なし
窃盗,自動販売機ねらい,中原,下小田中,141330,神奈川県,川崎市中原区,下小田中３丁目,2018-12-22,17,駐車（輪）場,あり
窃盗,自動販売機ねらい,高津,千年,141348,神奈川県,川崎市高津区,子母口,2018-01-06,19,その他,あり
窃盗,自動販売機ねらい,高津,久末,141348,神奈川県,川崎市高津区,久末,2018-03-15,12,駐車（輪）場,あり
窃盗,自動販売機ねらい,高津,久末,141348,神奈川県,川崎市高津区,久末,2018-05-29,09,その他,あり
窃盗,自動販売機ねらい,高津,久末,141348,神奈川県,川崎市高津区,久末,2018-12-08,18,その他,あり
窃盗,自動販売機ねらい,高津,津田山駅前,141348,神奈川県,川崎市高津区,宇奈根,2018-10-24,06,道路上,なし
窃盗,自動販売機ねらい,高津,二子新地駅前,141348,神奈川県,川崎市高津区,溝口５丁目,2018-08-19,22,駐車（輪）場,あり
窃盗,自動販売機ねらい,多摩,向ヶ丘遊園駅前,141356,神奈川県,川崎市多摩区,登戸,2018-12-12,22,その他,あり
窃盗,自動販売機ねらい,多摩,菅,141356,神奈川県,川崎市多摩区,菅稲田堤３丁目,2018-06-11,11,その他,あり
窃盗,自動販売機ねらい,幸,小向東芝町,141321,神奈川県,川崎市幸区,小向西町３丁目,2017-12-25,14,駐車（輪）場,なし
窃盗,自動販売機ねらい,幸,下平間,141321,神奈川県,川崎市幸区,下平間,2018-01-04,09,駐車（輪）場,なし
窃盗,自動販売機ねらい,幸,下平間,141321,神奈川県,川崎市幸区,下平間,2018-01-16,00,駐車（輪）場,あり
窃盗,自動販売機ねらい,幸,下平間,141321,神奈川県,川崎市幸区,古川町,2018-01-04,03,駐車（輪）場,なし
窃盗,自動販売機ねらい,幸,鹿島田駅前,141321,神奈川県,川崎市幸区,鹿島田１丁目,2018-09-08,18,その他,あり
窃盗,自動販売機ねらい,宮前,蔵敷,141364,神奈川県,川崎市宮前区,初山１丁目,2018-08-25,21,その他,なし
窃盗,自動販売機ねらい,宮前,宮前平駅前,141364,神奈川県,川崎市宮前区,宮崎５丁目,2018-07-28,18,その他,あり
窃盗,自動販売機ねらい,宮前,宮前平駅前,141364,神奈川県,川崎市宮前区,宮前平２丁目,2018-01-13,20,その他,あり
窃盗,自動販売機ねらい,宮前,有馬,141364,神奈川県,川崎市宮前区,東有馬３丁目,2018-09-22,17,その他,あり
