罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,現金被害の有無
窃盗,自動販売機ねらい,旭,ひかりが丘,141127,神奈川県,横浜市旭区,上白根町,2021/8/30,0,その他,その他,あり
窃盗,自動販売機ねらい,旭,希望が丘,141127,神奈川県,横浜市旭区,東希望が丘,2021/1/4,2,その他,その他,あり
窃盗,自動販売機ねらい,旭,希望が丘,141127,神奈川県,横浜市旭区,東希望が丘,2021/12/12,4,その他,その他,あり
窃盗,自動販売機ねらい,磯子,間坂,141071,神奈川県,横浜市磯子区,磯子２丁目,2021/2/18,17,その他,その他,あり
窃盗,自動販売機ねらい,金沢,並木,141089,神奈川県,横浜市金沢区,鳥浜町,2021/5/18,5,その他,その他,あり
窃盗,自動販売機ねらい,金沢,六浦,141089,神奈川県,横浜市金沢区,六浦２丁目,2021/9/30,9,その他,その他,あり
窃盗,自動販売機ねらい,伊勢佐木,伊勢佐木町,141046,神奈川県,横浜市中区,末吉町２丁目,2021/1/20,18,その他,その他,あり
窃盗,自動販売機ねらい,伊勢佐木,寿町,141046,神奈川県,横浜市中区,寿町１丁目,2021/1/27,11,その他,その他,あり
窃盗,自動販売機ねらい,伊勢佐木,寿町,141046,神奈川県,横浜市中区,寿町３丁目,2021/9/26,14,その他,その他,なし
窃盗,自動販売機ねらい,伊勢佐木,長者町,141046,神奈川県,横浜市中区,千歳町,2021/1/14,3,その他,その他,あり
窃盗,自動販売機ねらい,戸部,横浜駅相鉄口,141038,神奈川県,横浜市西区,南幸２丁目,2021/3/11,14,道路上,その他,あり
窃盗,自動販売機ねらい,戸部,浜松町,141038,神奈川県,横浜市西区,中央２丁目,2021/1/9,18,その他,その他,あり
窃盗,自動販売機ねらい,戸部,高島,141038,神奈川県,横浜市西区,平沼１丁目,2021/3/29,3,その他,その他,なし
窃盗,自動販売機ねらい,神奈川,三ツ沢,141020,神奈川県,横浜市神奈川区,三ツ沢中町,2021/12/18,2,その他,その他,あり
窃盗,自動販売機ねらい,神奈川,六角橋,141020,神奈川県,横浜市神奈川区,六角橋６丁目,2021/3/23,15,その他,その他,なし
窃盗,自動販売機ねらい,神奈川,反町,141020,神奈川県,横浜市神奈川区,反町４丁目,2021/12/10,19,その他,その他,あり
窃盗,自動販売機ねらい,神奈川,反町,141020,神奈川県,横浜市神奈川区,松本町１丁目,2021/4/12,6,その他,その他,あり
窃盗,自動販売機ねらい,神奈川,新子安,141020,神奈川県,横浜市神奈川区,子安通３丁目,2021/1/11,18,その他,その他,あり
窃盗,自動販売機ねらい,神奈川,新子安,141020,神奈川県,横浜市神奈川区,子安通３丁目,2021/5/7,10,その他,その他,あり
窃盗,自動販売機ねらい,神奈川,東神奈川駅前,141020,神奈川県,横浜市神奈川区,神奈川２丁目,2021/3/24,12,その他,その他,あり
窃盗,自動販売機ねらい,神奈川,東神奈川駅前,141020,神奈川県,横浜市神奈川区,神奈川本町,2021/3/27,17,その他,その他,あり
窃盗,自動販売機ねらい,神奈川,白幡,141020,神奈川県,横浜市神奈川区,白幡上町,2021/8/21,23,その他,その他,あり
窃盗,自動販売機ねらい,神奈川,西神奈川,141020,神奈川県,横浜市神奈川区,鳥越,2021/2/5,14,駐車（輪）場,駐車（輪）場,なし
窃盗,自動販売機ねらい,鶴見,市場,141011,神奈川県,横浜市鶴見区,菅沢町,2021/4/25,18,道路上,その他,なし
窃盗,自動販売機ねらい,鶴見,駒岡,141011,神奈川県,横浜市鶴見区,駒岡２丁目,2021/12/10,12,その他,その他,あり
窃盗,自動販売機ねらい,鶴見,駒岡,141011,神奈川県,横浜市鶴見区,獅子ケ谷２丁目,2021/12/30,4,その他,その他,あり
窃盗,自動販売機ねらい,鶴見,鶴見駅前,141011,神奈川県,横浜市鶴見区,鶴見中央３丁目,2021/5/17,17,その他,その他,なし
窃盗,自動販売機ねらい,鶴見,鶴見駅西口,141011,神奈川県,横浜市鶴見区,豊岡町,2021/12/17,10,その他,その他,あり
窃盗,自動販売機ねらい,港南,上大岡駅前,141119,神奈川県,横浜市港南区,最戸１丁目,2021/11/29,3,その他,その他,なし
窃盗,自動販売機ねらい,緑,十日市場駅前,141135,神奈川県,横浜市緑区,十日市場町,2021/6/11,18,その他,その他,あり
窃盗,自動販売機ねらい,緑,長津田駅前,141135,神奈川県,横浜市緑区,十日市場町,2021/12/19,3,その他,その他,あり
窃盗,自動販売機ねらい,緑,長津田駅前,141135,神奈川県,横浜市緑区,長津田みなみ台３丁目,2021/3/17,12,その他,その他,あり
窃盗,自動販売機ねらい,横浜水上,山下ふ頭,141046,神奈川県,横浜市中区,山下町,2021/10/7,9,その他,その他,なし
窃盗,自動販売機ねらい,港北,新横浜駅前,141097,神奈川県,横浜市港北区,新横浜１丁目,2021/12/13,7,その他,その他,なし
窃盗,自動販売機ねらい,港北,日吉本町,141097,神奈川県,横浜市港北区,綱島東４丁目,2021/1/25,12,その他,その他,あり
窃盗,自動販売機ねらい,港北,日吉本町,141097,神奈川県,横浜市港北区,綱島東４丁目,2021/5/14,12,その他,その他,あり
窃盗,自動販売機ねらい,港北,樽町,141097,神奈川県,横浜市港北区,樽町２丁目,2021/5/7,18,その他,その他,あり
窃盗,自動販売機ねらい,栄,本郷台駅前,141151,神奈川県,横浜市栄区,小菅ケ谷１丁目,2021/7/31,20,その他,その他,あり
窃盗,自動販売機ねらい,栄,豊田,141151,神奈川県,横浜市栄区,長沼町,2021/2/24,6,その他,その他,なし
窃盗,自動販売機ねらい,栄,豊田,141151,神奈川県,横浜市栄区,本郷台２丁目,2021/1/12,4,その他,その他,なし
窃盗,自動販売機ねらい,青葉,たまプラーザ駅前,141178,神奈川県,横浜市青葉区,美しが丘２丁目,2021/10/23,19,その他,その他,あり
窃盗,自動販売機ねらい,青葉,青葉台駅前,141178,神奈川県,横浜市青葉区,青葉台２丁目,2021/12/18,18,その他,その他,あり
窃盗,自動販売機ねらい,都筑,仲町台駅前,141186,神奈川県,横浜市都筑区,川和町,2021/6/2,10,その他,その他,あり
窃盗,自動販売機ねらい,都筑,仲町台駅前,141186,神奈川県,横浜市都筑区,仲町台２丁目,2021/5/8,11,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,都筑,北山田駅前,141186,神奈川県,横浜市都筑区,東山田３丁目,2021/6/22,1,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,都筑,北山田駅前,141186,神奈川県,横浜市都筑区,東山田３丁目,2021/6/22,1,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,都筑,北山田駅前,141186,神奈川県,横浜市都筑区,東山田町,2021/1/21,10,その他,その他,あり
窃盗,自動販売機ねらい,都筑,北山田駅前,141186,神奈川県,横浜市都筑区,東山田町,2021/7/26,7,その他,その他,あり
窃盗,自動販売機ねらい,都筑,北山田駅前,141186,神奈川県,横浜市都筑区,東山田町,2021/8/11,17,道路上,その他,あり
窃盗,自動販売機ねらい,都筑,北山田駅前,141186,神奈川県,横浜市都筑区,東山田町,2021/11/17,18,その他,その他,あり
窃盗,自動販売機ねらい,都筑,川和,141186,神奈川県,横浜市都筑区,川和町,2021/11/27,18,その他,その他,あり
窃盗,自動販売機ねらい,都筑,折本町,141186,神奈川県,横浜市都筑区,川向町,2021/4/4,17,その他,その他,あり
窃盗,自動販売機ねらい,麻生,栗平駅前,141372,神奈川県,川崎市麻生区,栗木台１丁目,2021/4/13,14,その他,その他,あり
窃盗,自動販売機ねらい,麻生,王禅寺,141372,神奈川県,川崎市麻生区,東百合丘１丁目,2021/4/14,14,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,川崎,大島町,141313,神奈川県,川崎市川崎区,大島４丁目,2021/2/10,12,道路上,その他,あり
窃盗,自動販売機ねらい,川崎,川崎駅前,141313,神奈川県,川崎市川崎区,堀之内町,2021/3/12,4,その他,その他,あり
窃盗,自動販売機ねらい,川崎,川崎駅前,141313,神奈川県,川崎市川崎区,本町２丁目,2021/5/18,4,その他,その他,あり
窃盗,自動販売機ねらい,川崎,川崎駅前,141313,神奈川県,川崎市川崎区,宮本町,2021/1/25,3,その他,その他,あり
窃盗,自動販売機ねらい,川崎,川崎駅前,141313,神奈川県,川崎市川崎区,宮本町,2021/3/18,5,その他,その他,あり
窃盗,自動販売機ねらい,川崎,浅田,141313,神奈川県,川崎市川崎区,浅田２丁目,2021/2/13,2,その他,その他,あり
窃盗,自動販売機ねらい,川崎臨港,出来野,141313,神奈川県,川崎市川崎区,塩浜３丁目,2021/1/15,11,その他,その他,あり
窃盗,自動販売機ねらい,川崎臨港,浜町,141313,神奈川県,川崎市川崎区,浅野町,2021/1/27,16,その他,その他,あり
窃盗,自動販売機ねらい,川崎臨港,浜町,141313,神奈川県,川崎市川崎区,浅野町,2021/1/27,19,その他,その他,あり
窃盗,自動販売機ねらい,川崎臨港,浜町,141313,神奈川県,川崎市川崎区,浅野町,2021/3/22,13,その他,その他,あり
窃盗,自動販売機ねらい,川崎臨港,浜町,141313,神奈川県,川崎市川崎区,浅野町,2021/6/9,19,その他,その他,あり
窃盗,自動販売機ねらい,川崎臨港,浜町,141313,神奈川県,川崎市川崎区,浅野町,2021/7/4,2,その他,その他,あり
窃盗,自動販売機ねらい,川崎臨港,鋼管通,141313,神奈川県,川崎市川崎区,大川町,2021/1/13,13,その他,その他,あり
窃盗,自動販売機ねらい,川崎臨港,鋼管通,141313,神奈川県,川崎市川崎区,大川町,2021/1/18,18,その他,その他,あり
窃盗,自動販売機ねらい,川崎臨港,鋼管通,141313,神奈川県,川崎市川崎区,大川町,2021/2/4,18,その他,その他,あり
窃盗,自動販売機ねらい,川崎臨港,鋼管通,141313,神奈川県,川崎市川崎区,大川町,2021/5/14,5,その他,その他,あり
窃盗,自動販売機ねらい,川崎臨港,鋼管通,141313,神奈川県,川崎市川崎区,大川町,2021/5/27,13,道路上,その他,あり
窃盗,自動販売機ねらい,川崎臨港,鋼管通,141313,神奈川県,川崎市川崎区,白石町,2021/1/18,19,その他,その他,あり
窃盗,自動販売機ねらい,川崎臨港,鋼管通,141313,神奈川県,川崎市川崎区,白石町,2021/2/25,12,その他,その他,あり
窃盗,自動販売機ねらい,中原,井田,141330,神奈川県,川崎市中原区,井田２丁目,2021/5/16,2,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,中原,武蔵中原駅前,141330,神奈川県,川崎市中原区,下小田中４丁目,2021/7/19,12,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,中原,武蔵新城駅前,141330,神奈川県,川崎市中原区,下新城１丁目,2021/8/21,17,その他,その他,あり
窃盗,自動販売機ねらい,高津,久末,141348,神奈川県,川崎市高津区,蟹ケ谷,2021/7/3,21,その他,その他,あり
窃盗,自動販売機ねらい,高津,久末,141348,神奈川県,川崎市高津区,蟹ケ谷,2021/11/20,23,その他,その他,あり
窃盗,自動販売機ねらい,高津,二子新地駅前,141348,神奈川県,川崎市高津区,瀬田,2021/7/3,4,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,高津,津田山駅前,141348,神奈川県,川崎市高津区,上作延,2021/2/21,16,その他,その他,なし
窃盗,自動販売機ねらい,高津,津田山駅前,141348,神奈川県,川崎市高津区,下作延５丁目,2021/10/30,18,その他,その他,あり
窃盗,自動販売機ねらい,多摩,中野島,141356,神奈川県,川崎市多摩区,中野島４丁目,2021/10/3,16,その他,その他,あり
窃盗,自動販売機ねらい,多摩,向ヶ丘遊園駅前,141356,神奈川県,川崎市多摩区,登戸,2021/1/9,18,その他,その他,あり
窃盗,自動販売機ねらい,多摩,向ヶ丘遊園駅前,141356,神奈川県,川崎市多摩区,登戸,2021/4/30,18,その他,その他,あり
窃盗,自動販売機ねらい,幸,鹿島田駅前,141321,神奈川県,川崎市幸区,小倉,2021/12/4,18,その他,その他,あり
窃盗,自動販売機ねらい,宮前,神木,141364,神奈川県,川崎市宮前区,平２丁目,2021/4/29,12,道路上,その他,あり
窃盗,自動販売機ねらい,宮前,鷺沼駅前,141364,神奈川県,川崎市宮前区,有馬３丁目,2021/4/14,10,その他,その他,あり
窃盗,自動販売機ねらい,宮前,鷺沼駅前,141364,神奈川県,川崎市宮前区,小台１丁目,2021/7/30,10,その他,その他,あり
窃盗,自動販売機ねらい,田浦,浦郷町,142018,神奈川県,横須賀市,夏島町,2021/10/8,15,その他,その他,あり
窃盗,自動販売機ねらい,浦賀,佐原,142018,神奈川県,横須賀市,佐原４丁目,2021/9/20,12,その他,その他,あり
窃盗,自動販売機ねらい,藤沢北,六会日大駅前,142051,神奈川県,藤沢市,亀井野,2021/7/22,13,道路上,その他,あり
窃盗,自動販売機ねらい,藤沢北,六会日大駅前,142051,神奈川県,藤沢市,亀井野３丁目,2021/9/3,15,その他,その他,あり
窃盗,自動販売機ねらい,藤沢北,湘南台駅西口,142051,神奈川県,藤沢市,円行,2021/10/8,13,その他,その他,あり
窃盗,自動販売機ねらい,藤沢北,長後駅前,142051,神奈川県,藤沢市,下土棚,2021/12/18,10,その他,その他,あり
窃盗,自動販売機ねらい,茅ケ崎,茅ケ崎駅前,142077,神奈川県,茅ヶ崎市,新栄町,2021/4/10,19,その他,その他,あり
窃盗,自動販売機ねらい,平塚,代官町,142034,神奈川県,平塚市,須賀,2021/7/10,13,その他,その他,あり
窃盗,自動販売機ねらい,平塚,平塚駅前,142034,神奈川県,平塚市,明石町,2021/1/15,14,その他,その他,あり
窃盗,自動販売機ねらい,平塚,平塚駅前,142034,神奈川県,平塚市,宮の前,2021/12/4,20,その他,その他,あり
窃盗,自動販売機ねらい,平塚,平塚駅前,142034,神奈川県,平塚市,宮松町,2021/3/13,19,その他,その他,あり
窃盗,自動販売機ねらい,平塚,神田,142034,神奈川県,平塚市,大神,2021/3/13,20,その他,その他,あり
窃盗,自動販売機ねらい,平塚,神田,142034,神奈川県,平塚市,大神,2021/3/31,15,その他,その他,あり
窃盗,自動販売機ねらい,小田原,蓮正寺,142069,神奈川県,小田原市,蓮正寺,2021/6/5,17,その他,その他,あり
窃盗,自動販売機ねらい,小田原,豊川,142069,神奈川県,小田原市,成田,2021/9/7,11,その他,その他,あり
窃盗,自動販売機ねらい,伊勢原,成瀬,142140,神奈川県,伊勢原市,下糟屋,2021/5/26,12,その他,その他,あり
窃盗,自動販売機ねらい,伊勢原,高部屋,142140,神奈川県,伊勢原市,西富岡,2021/1/7,15,その他,その他,あり
窃盗,自動販売機ねらい,厚木,上荻野,142123,神奈川県,厚木市,上荻野,2021/4/1,11,道路上,その他,あり
窃盗,自動販売機ねらい,厚木,上荻野,142123,神奈川県,厚木市,上荻野,2021/4/4,15,道路上,その他,あり
窃盗,自動販売機ねらい,厚木,下荻野,142123,神奈川県,厚木市,三田,2021/6/3,19,その他,その他,あり
窃盗,自動販売機ねらい,厚木,下荻野,142123,神奈川県,厚木市,中荻野,2021/5/10,15,その他,その他,あり
窃盗,自動販売機ねらい,厚木,下荻野,142123,神奈川県,厚木市,中荻野,2021/5/31,14,その他,その他,あり
窃盗,自動販売機ねらい,厚木,下荻野,142123,神奈川県,厚木市,中荻野,2021/7/22,21,その他,その他,あり
窃盗,自動販売機ねらい,厚木,下荻野,142123,神奈川県,厚木市,中荻野,2021/8/21,21,その他,その他,あり
窃盗,自動販売機ねらい,厚木,依知,142123,神奈川県,厚木市,金田,2021/1/30,18,その他,その他,あり
窃盗,自動販売機ねらい,厚木,依知,142123,神奈川県,厚木市,金田,2021/4/27,19,その他,その他,あり
窃盗,自動販売機ねらい,厚木,半原,144011,神奈川県,愛川町,半原,2021/6/5,15,その他,その他,あり
窃盗,自動販売機ねらい,厚木,半原,144011,神奈川県,愛川町,半原,2021/7/22,11,その他,その他,あり
窃盗,自動販売機ねらい,厚木,半原,144011,神奈川県,愛川町,半原,2021/8/11,18,その他,その他,あり
窃盗,自動販売機ねらい,厚木,工業団地,142123,神奈川県,厚木市,山際,2021/2/4,11,その他,その他,あり
窃盗,自動販売機ねらい,厚木,旭町,142123,神奈川県,厚木市,旭町５丁目,2021/1/10,3,その他,その他,あり
窃盗,自動販売機ねらい,厚木,旭町,142123,神奈川県,厚木市,旭町５丁目,2021/4/29,3,その他,その他,あり
窃盗,自動販売機ねらい,厚木,春日台,144011,神奈川県,愛川町,中津,2021/2/2,10,その他,その他,あり
窃盗,自動販売機ねらい,厚木,春日台,144011,神奈川県,愛川町,中津,2021/2/5,19,その他,その他,あり
窃盗,自動販売機ねらい,厚木,春日台,144011,神奈川県,愛川町,中津,2021/4/7,14,道路上,その他,あり
窃盗,自動販売機ねらい,厚木,春日台,144011,神奈川県,愛川町,中津,2021/4/27,23,道路上,その他,あり
窃盗,自動販売機ねらい,厚木,春日台,144011,神奈川県,愛川町,中津,2021/7/30,13,道路上,その他,あり
窃盗,自動販売機ねらい,厚木,春日台,144011,神奈川県,愛川町,中津,2021/7/31,18,その他,駐車（輪）場,あり
窃盗,自動販売機ねらい,厚木,春日台,144011,神奈川県,愛川町,中津,2021/8/17,14,道路上,その他,あり
窃盗,自動販売機ねらい,厚木,春日台,144011,神奈川県,愛川町,中津,2021/8/28,19,その他,その他,あり
窃盗,自動販売機ねらい,厚木,本厚木駅前,142123,神奈川県,厚木市,東町,2021/3/12,19,その他,その他,あり
窃盗,自動販売機ねらい,厚木,玉川,142123,神奈川県,厚木市,七沢,2021/2/23,17,その他,その他,あり
窃盗,自動販売機ねらい,相模原,淵野辺駅南口,141526,神奈川県,相模原市中央区,矢部１丁目,2020/12/15,11,その他,その他,あり
窃盗,自動販売機ねらい,相模原,淵野辺駅南口,141526,神奈川県,相模原市中央区,矢部１丁目,2021/4/17,12,その他,その他,あり
窃盗,自動販売機ねらい,相模原,番田,141526,神奈川県,相模原市中央区,上溝,2021/1/19,15,その他,その他,あり
窃盗,自動販売機ねらい,相模原,相模原駅前,141526,神奈川県,相模原市中央区,相模原４丁目,2021/2/17,4,その他,その他,あり
窃盗,自動販売機ねらい,津久井,城山,141518,神奈川県,相模原市緑区,向原４丁目,2021/8/13,18,その他,その他,あり
窃盗,自動販売機ねらい,相模原南,南大野,141534,神奈川県,相模原市南区,相模台３丁目,2021/9/26,11,道路上,その他,あり
窃盗,自動販売機ねらい,相模原南,古淵駅前,141534,神奈川県,相模原市南区,古淵２丁目,2021/1/28,8,その他,その他,あり
窃盗,自動販売機ねらい,相模原南,古淵駅前,141534,神奈川県,相模原市南区,古淵２丁目,2021/9/7,17,道路上,その他,あり
窃盗,自動販売機ねらい,相模原南,麻溝公園前,141534,神奈川県,相模原市南区,麻溝台,2021/3/9,12,その他,その他,あり
窃盗,自動販売機ねらい,相模原南,麻溝公園前,141534,神奈川県,相模原市南区,下溝,2021/3/27,12,その他,その他,あり
窃盗,自動販売機ねらい,座間,ひばりが丘,142166,神奈川県,座間市,ひばりが丘４丁目,2021/2/19,18,その他,その他,あり
窃盗,自動販売機ねらい,海老名,海老名駅前,142158,神奈川県,海老名市,泉２丁目,2021/2/27,19,その他,その他,あり
窃盗,自動販売機ねらい,海老名,海西,142158,神奈川県,海老名市,上今泉,2021/9/9,9,その他,その他,あり
窃盗,自動販売機ねらい,海老名,海西,142158,神奈川県,海老名市,上郷,2021/5/22,23,その他,その他,あり
窃盗,自動販売機ねらい,海老名,海西,142158,神奈川県,海老名市,上郷４丁目,2021/3/26,9,その他,その他,あり
窃盗,自動販売機ねらい,海老名,海西,142158,神奈川県,海老名市,河原口１丁目,2021/7/20,9,道路上,その他,あり
窃盗,自動販売機ねらい,海老名,海西,142158,神奈川県,海老名市,下今泉１丁目,2021/1/29,17,その他,その他,あり
窃盗,自動販売機ねらい,海老名,海西,142158,神奈川県,海老名市,下今泉１丁目,2021/1/30,14,その他,その他,あり
窃盗,自動販売機ねらい,海老名,海西,142158,神奈川県,海老名市,下今泉３丁目,2021/3/19,10,その他,その他,あり
窃盗,自動販売機ねらい,海老名,海西,142158,神奈川県,海老名市,中新田３丁目,2021/11/1,11,その他,その他,あり
窃盗,自動販売機ねらい,海老名,海西,142158,神奈川県,海老名市,中新田５丁目,2021/11/6,18,その他,その他,あり
窃盗,自動販売機ねらい,海老名,海西,142158,神奈川県,海老名市,泉１丁目,2021/9/3,8,その他,その他,あり
窃盗,自動販売機ねらい,海老名,海西,142158,神奈川県,海老名市,泉２丁目,2021/2/27,19,その他,その他,あり
