罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,被害者の性別,被害者の年齢,現金被害の有無
窃盗,ひったくり,伊勢佐木,寿町,141046,神奈川県,横浜市中区,寿町１丁目,2019-05-01,16,その他,女性,40歳代,あり
窃盗,ひったくり,伊勢佐木,吉田橋,141046,神奈川県,横浜市中区,長者町９丁目,2019-04-09,03,その他,女性,30歳代,あり
窃盗,ひったくり,伊勢佐木,黄金町,141046,神奈川県,横浜市中区,日ノ出町１丁目,2019-02-24,01,その他,男性,65-69歳,あり
窃盗,ひったくり,戸部,横浜駅相鉄口,141038,神奈川県,横浜市西区,南幸１丁目,2019-08-16,21,その他,女性,20歳代,なし
窃盗,ひったくり,戸部,高島,141038,神奈川県,横浜市西区,桜木町４丁目,2019-02-18,20,その他,男性,70歳以上,あり
窃盗,ひったくり,戸部,高島,141038,神奈川県,横浜市西区,花咲町４丁目,2019-07-04,01,その他,女性,20歳代,あり
窃盗,ひったくり,戸部,岡野,141038,神奈川県,横浜市西区,岡野２丁目,2019-07-27,19,その他,女性,70歳以上,あり
窃盗,ひったくり,戸部,浜松町,141038,神奈川県,横浜市西区,中央２丁目,2019-04-09,02,その他,女性,20歳代,あり
窃盗,ひったくり,戸部,一本松,141038,神奈川県,横浜市西区,境之谷,2019-07-26,00,その他,男性,20歳代,あり
窃盗,ひったくり,神奈川,浦島丘,141020,神奈川県,横浜市神奈川区,白幡南町,2019-09-01,20,その他,女性,50歳代,あり
窃盗,ひったくり,神奈川,西神奈川,141020,神奈川県,横浜市神奈川区,鳥越,2019-07-17,23,その他,女性,40歳代,あり
窃盗,ひったくり,神奈川,神大寺,141020,神奈川県,横浜市神奈川区,三枚町,2019-08-23,05,その他,女性,10歳代,なし
窃盗,ひったくり,神奈川,沢渡,141020,神奈川県,横浜市神奈川区,高島台,2019-08-29,21,その他,女性,20歳代,なし
窃盗,ひったくり,神奈川,沢渡,141020,神奈川県,横浜市神奈川区,台町,2019-07-20,00,その他,女性,40歳代,あり
窃盗,ひったくり,神奈川,沢渡,141020,神奈川県,横浜市神奈川区,台町,2019-08-31,21,その他,女性,20歳代,あり
窃盗,ひったくり,鶴見,本町通,141011,神奈川県,横浜市鶴見区,下野谷町１丁目,2019-12-25,16,その他,女性,40歳代,なし
窃盗,ひったくり,鶴見,鶴見駅西口,141011,神奈川県,横浜市鶴見区,豊岡町,2019-08-24,18,その他,女性,30歳代,あり
窃盗,ひったくり,鶴見,北寺尾,141011,神奈川県,横浜市鶴見区,北寺尾７丁目,2019-09-06,22,その他,男性,20歳代,あり
窃盗,ひったくり,保土ケ谷,岩間町,141062,神奈川県,横浜市保土ケ谷区,岩間町１丁目,2019-08-29,20,その他,女性,30歳代,あり
窃盗,ひったくり,保土ケ谷,岩間町,141062,神奈川県,横浜市保土ケ谷区,霞台,2019-08-16,19,その他,女性,60-64歳,あり
窃盗,ひったくり,保土ケ谷,岩間町,141062,神奈川県,横浜市保土ケ谷区,霞台,2019-08-19,18,その他,女性,50歳代,あり
窃盗,ひったくり,保土ケ谷,岩間町,141062,神奈川県,横浜市保土ケ谷区,霞台,2019-08-25,22,その他,女性,50歳代,あり
窃盗,ひったくり,保土ケ谷,宮田町,141062,神奈川県,横浜市保土ケ谷区,天王町１丁目,2019-07-25,23,その他,男性,70歳以上,あり
窃盗,ひったくり,保土ケ谷,宮田町,141062,神奈川県,横浜市保土ケ谷区,宮田町１丁目,2019-09-06,21,その他,女性,10歳代,なし
窃盗,ひったくり,保土ケ谷,和田町,141062,神奈川県,横浜市保土ケ谷区,釜台町,2019-05-17,00,その他,女性,20歳代,なし
窃盗,ひったくり,保土ケ谷,上菅田町,141062,神奈川県,横浜市保土ケ谷区,上菅田町,2019-07-26,14,その他,女性,70歳以上,あり
窃盗,ひったくり,保土ケ谷,川島町,141062,神奈川県,横浜市保土ケ谷区,川島町,2019-05-27,18,その他,女性,50歳代,あり
窃盗,ひったくり,緑,長津田駅前,141135,神奈川県,横浜市緑区,長津田町,2019-03-02,16,その他,女性,70歳以上,あり
窃盗,ひったくり,緑,長津田駅前,141135,神奈川県,横浜市緑区,長津田６丁目,2019-03-29,12,その他,女性,65-69歳,なし
窃盗,ひったくり,緑,長津田駅前,141135,神奈川県,横浜市緑区,長津田みなみ台７丁目,2019-08-19,23,その他,女性,40歳代,あり
窃盗,ひったくり,緑,中山駅前,141135,神奈川県,横浜市緑区,台村町,2019-07-24,04,その他,男性,50歳代,あり
窃盗,ひったくり,港北,大倉山,141097,神奈川県,横浜市港北区,師岡町,2019-10-05,15,その他,女性,70歳以上,あり
窃盗,ひったくり,港北,仲手原,141097,神奈川県,横浜市港北区,仲手原２丁目,2019-07-27,22,その他,女性,50歳代,あり
窃盗,ひったくり,瀬谷,瀬谷駅前,141143,神奈川県,横浜市瀬谷区,本郷３丁目,2019-08-27,19,その他,女性,50歳代,あり
窃盗,ひったくり,瀬谷,竹村町,141143,神奈川県,横浜市瀬谷区,中屋敷１丁目,2019-07-25,15,その他,男性,70歳以上,あり
窃盗,ひったくり,青葉,青葉台駅前,141178,神奈川県,横浜市青葉区,青葉台１丁目,2019-05-07,18,その他,女性,60-64歳,あり
窃盗,ひったくり,青葉,青葉台駅前,141178,神奈川県,横浜市青葉区,青葉台２丁目,2019-03-02,17,その他,女性,40歳代,あり
窃盗,ひったくり,青葉,荏田町,141178,神奈川県,横浜市青葉区,荏田町,2019-11-25,21,その他,女性,50歳代,なし
窃盗,ひったくり,青葉,鉄町,141178,神奈川県,横浜市青葉区,大場町,2019-10-08,18,その他,女性,65-69歳,あり
窃盗,ひったくり,青葉,田奈駅前,141178,神奈川県,横浜市青葉区,恩田町,2019-10-23,20,その他,女性,20歳代,なし
窃盗,ひったくり,麻生,王禅寺,141372,神奈川県,川崎市麻生区,東百合丘４丁目,2019-12-16,17,その他,女性,70歳以上,なし
窃盗,ひったくり,川崎,渡田,141313,神奈川県,川崎市川崎区,渡田新町１丁目,2019-08-30,00,その他,女性,20歳代,あり
窃盗,ひったくり,川崎,浅田,141313,神奈川県,川崎市川崎区,小田４丁目,2019-12-26,18,その他,女性,40歳代,あり
窃盗,ひったくり,川崎,藤崎,141313,神奈川県,川崎市川崎区,藤崎２丁目,2019-03-09,12,その他,女性,70歳以上,あり
窃盗,ひったくり,川崎,中島町,141313,神奈川県,川崎市川崎区,旭町２丁目,2019-07-10,11,その他,女性,70歳以上,あり
窃盗,ひったくり,川崎,中島町,141313,神奈川県,川崎市川崎区,港町,2019-12-25,12,,女性,60-64歳,なし
窃盗,ひったくり,川崎,富士見公園,141313,神奈川県,川崎市川崎区,富士見１丁目,2019-12-26,23,その他,女性,20歳代,あり
窃盗,ひったくり,川崎,川崎駅前,141313,神奈川県,川崎市川崎区,砂子２丁目,2019-04-25,13,その他,女性,70歳以上,あり
窃盗,ひったくり,川崎,南町,141313,神奈川県,川崎市川崎区,新川通,2019-09-04,13,その他,男性,70歳以上,あり
窃盗,ひったくり,川崎臨港,出来野,141313,神奈川県,川崎市川崎区,出来野,2019-03-11,14,その他,女性,70歳以上,あり
窃盗,ひったくり,中原,井田,141330,神奈川県,川崎市中原区,井田１丁目,2019-09-20,18,その他,女性,70歳以上,あり
窃盗,ひったくり,中原,井田,141330,神奈川県,川崎市中原区,井田中ノ町,2019-11-27,16,その他,女性,70歳以上,あり
窃盗,ひったくり,中原,丸子橋,141330,神奈川県,川崎市中原区,上丸子天神町,2019-08-24,21,その他,女性,60-64歳,あり
窃盗,ひったくり,高津,溝口駅前,141348,神奈川県,川崎市高津区,下作延３丁目,2019-11-14,23,その他,女性,70歳以上,なし
窃盗,ひったくり,高津,溝口駅前,141348,神奈川県,川崎市高津区,下作延４丁目,2019-04-17,18,その他,女性,60-64歳,あり
窃盗,ひったくり,高津,北見方,141348,神奈川県,川崎市高津区,坂戸１丁目,2019-07-06,12,その他,女性,50歳代,あり
窃盗,ひったくり,高津,二子新地駅前,141348,神奈川県,川崎市高津区,諏訪１丁目,2019-06-05,12,その他,女性,50歳代,あり
窃盗,ひったくり,高津,二子新地駅前,141348,神奈川県,川崎市高津区,諏訪２丁目,2019-05-09,20,その他,女性,20歳代,なし
窃盗,ひったくり,多摩,登戸駅前,141356,神奈川県,川崎市多摩区,登戸新町,2019-05-30,00,その他,男性,40歳代,あり
窃盗,ひったくり,多摩,向ヶ丘遊園駅前,141356,神奈川県,川崎市多摩区,登戸,2019-02-07,15,,女性,70歳以上,あり
窃盗,ひったくり,多摩,菅,141356,神奈川県,川崎市多摩区,菅北浦２丁目,2019-02-16,19,その他,女性,40歳代,あり
窃盗,ひったくり,多摩,菅,141356,神奈川県,川崎市多摩区,菅北浦２丁目,2019-03-06,19,その他,女性,30歳代,あり
窃盗,ひったくり,多摩,菅,141356,神奈川県,川崎市多摩区,菅北浦３丁目,2019-03-24,20,その他,女性,20歳代,あり
窃盗,ひったくり,幸,塚越,141321,神奈川県,川崎市幸区,塚越２丁目,2019-07-22,14,その他,女性,70歳以上,あり
窃盗,ひったくり,幸,鹿島田駅前,141321,神奈川県,川崎市幸区,鹿島田１丁目,2019-11-30,22,その他,女性,40歳代,あり
窃盗,ひったくり,幸,鹿島田駅前,141321,神奈川県,川崎市幸区,鹿島田３丁目,2019-02-14,11,その他,女性,50歳代,あり
窃盗,ひったくり,幸,河原町,141321,神奈川県,川崎市幸区,遠藤町,2019-06-03,13,その他,女性,70歳以上,あり
窃盗,ひったくり,宮前,鷺沼駅前,141364,神奈川県,川崎市宮前区,土橋３丁目,2019-03-08,14,その他,女性,40歳代,あり
窃盗,ひったくり,宮前,鷺沼駅前,141364,神奈川県,川崎市宮前区,犬蔵２丁目,2019-08-27,18,その他,女性,60-64歳,あり
窃盗,ひったくり,横須賀,公郷町,142018,神奈川県,横須賀市,小矢部１丁目,2019-09-04,18,その他,女性,65-69歳,なし
窃盗,ひったくり,浦賀,鴨居,142018,神奈川県,横須賀市,鴨居２丁目,2019-12-25,16,その他,女性,70歳以上,あり
窃盗,ひったくり,藤沢北,長後駅前,142051,神奈川県,藤沢市,高倉,2019-09-14,01,その他,女性,20歳代,あり
窃盗,ひったくり,藤沢北,湘南台駅西口,142051,神奈川県,藤沢市,湘南台３丁目,2019-01-07,22,その他,男性,40歳代,なし
窃盗,ひったくり,藤沢北,六会日大駅前,142051,神奈川県,藤沢市,亀井野４丁目,2018-12-07,22,その他,女性,50歳代,なし
窃盗,ひったくり,藤沢北,湘南ライフタウン,142051,神奈川県,藤沢市,大庭,2019-08-27,18,その他,女性,70歳以上,あり
窃盗,ひったくり,鎌倉,御成,142042,神奈川県,鎌倉市,御成町,2019-08-15,18,その他,女性,70歳以上,あり
窃盗,ひったくり,藤沢,本町白旗,142051,神奈川県,藤沢市,藤沢３丁目,2019-11-13,22,その他,女性,20歳代,あり
窃盗,ひったくり,藤沢,片瀬江の島,142051,神奈川県,藤沢市,片瀬５丁目,2019-12-09,18,その他,女性,65-69歳,あり
窃盗,ひったくり,藤沢,片瀬山,142051,神奈川県,藤沢市,片瀬山１丁目,2019-11-30,17,その他,女性,70歳以上,あり
窃盗,ひったくり,茅ケ崎,茅ケ崎駅前,142077,神奈川県,茅ヶ崎市,茅ヶ崎,2019-04-03,19,その他,女性,60-64歳,あり
窃盗,ひったくり,茅ケ崎,今宿,142077,神奈川県,茅ヶ崎市,今宿,2018-12-30,22,その他,女性,10歳代,あり
窃盗,ひったくり,茅ケ崎,浜見平,142077,神奈川県,茅ヶ崎市,南湖５丁目,2019-03-27,19,その他,女性,70歳以上,あり
窃盗,ひったくり,茅ケ崎,浜見平,142077,神奈川県,茅ヶ崎市,浜見平,2019-04-16,19,その他,男性,70歳以上,なし
窃盗,ひったくり,茅ケ崎,浜見平,142077,神奈川県,茅ヶ崎市,松尾,2019-04-17,12,その他,女性,70歳以上,あり
窃盗,ひったくり,茅ケ崎,浜見平,142077,神奈川県,茅ヶ崎市,柳島,2019-05-25,21,その他,女性,20歳代,あり
窃盗,ひったくり,茅ケ崎,小和田,142077,神奈川県,茅ヶ崎市,松林１丁目,2018-12-21,21,その他,男性,50歳代,なし
窃盗,ひったくり,茅ケ崎,鶴が台,142077,神奈川県,茅ヶ崎市,円蔵１丁目,2019-04-13,21,その他,女性,40歳代,なし
窃盗,ひったくり,茅ケ崎,鶴が台,142077,神奈川県,茅ヶ崎市,円蔵１丁目,2019-04-15,19,その他,女性,60-64歳,あり
窃盗,ひったくり,茅ケ崎,鶴が台,142077,神奈川県,茅ヶ崎市,円蔵２丁目,2019-04-05,21,その他,男性,65-69歳,なし
窃盗,ひったくり,茅ケ崎,宮山,143219,神奈川県,寒川町,倉見,2019-09-28,20,その他,男性,65-69歳,あり
窃盗,ひったくり,平塚,平塚駅前,142034,神奈川県,平塚市,老松町,2019-04-07,21,その他,女性,60-64歳,あり
窃盗,ひったくり,平塚,代官町,142034,神奈川県,平塚市,代官町,2019-09-24,22,その他,男性,40歳代,あり
窃盗,ひったくり,平塚,代官町,142034,神奈川県,平塚市,夕陽ケ丘,2019-02-23,11,その他,女性,70歳以上,あり
窃盗,ひったくり,平塚,代官町,142034,神奈川県,平塚市,夕陽ケ丘,2019-05-06,19,その他,女性,65-69歳,あり
窃盗,ひったくり,平塚,代官町,142034,神奈川県,平塚市,夕陽ケ丘,2019-05-20,17,その他,女性,70歳以上,あり
窃盗,ひったくり,平塚,須賀,142034,神奈川県,平塚市,幸町,2019-03-12,18,その他,女性,40歳代,あり
窃盗,ひったくり,平塚,須賀,142034,神奈川県,平塚市,幸町,2019-03-15,18,その他,女性,40歳代,あり
窃盗,ひったくり,平塚,花水台,142034,神奈川県,平塚市,花水台,2019-06-02,20,その他,女性,20歳代,あり
窃盗,ひったくり,大磯,大磯駅前,143413,神奈川県,大磯町,大磯,2019-05-05,20,その他,女性,40歳代,あり
窃盗,ひったくり,小田原,小田原駅東口,142069,神奈川県,小田原市,栄町３丁目,2019-06-06,01,その他,女性,70歳以上,あり
窃盗,ひったくり,小田原,足柄,142069,神奈川県,小田原市,扇町５丁目,2019-06-04,00,その他,女性,20歳代,あり
窃盗,ひったくり,小田原,小田原大橋,142069,神奈川県,小田原市,栄町４丁目,2019-10-26,12,その他,女性,70歳以上,あり
窃盗,ひったくり,秦野,渋沢,142115,神奈川県,秦野市,渋沢３丁目,2019-04-18,21,その他,男性,50歳代,あり
窃盗,ひったくり,伊勢原,比々多,142140,神奈川県,伊勢原市,板戸,2019-05-12,00,その他,女性,20歳代,あり
窃盗,ひったくり,伊勢原,比々多,142140,神奈川県,伊勢原市,串橋,2019-02-01,01,その他,男性,20歳代,あり
窃盗,ひったくり,厚木,本厚木駅前,142123,神奈川県,厚木市,寿町２丁目,2019-05-19,22,その他,男性,20歳代,なし
窃盗,ひったくり,厚木,本厚木駅前,142123,神奈川県,厚木市,中町４丁目,2019-05-19,23,その他,男性,20歳代,あり
窃盗,ひったくり,厚木,本厚木駅前,142123,神奈川県,厚木市,水引２丁目,2019-05-03,22,その他,男性,60-64歳,あり
窃盗,ひったくり,厚木,本厚木駅前,142123,神奈川県,厚木市,元町,2019-05-23,13,その他,女性,65-69歳,あり
窃盗,ひったくり,厚木,緑ケ丘,142123,神奈川県,厚木市,恩名３丁目,2019-07-21,21,その他,女性,20歳代,あり
窃盗,ひったくり,厚木,妻田,142123,神奈川県,厚木市,妻田南２丁目,2019-04-12,18,その他,女性,20歳代,なし
窃盗,ひったくり,厚木,妻田,142123,神奈川県,厚木市,妻田北３丁目,2019-01-20,14,その他,女性,70歳以上,あり
窃盗,ひったくり,厚木,下荻野,142123,神奈川県,厚木市,下荻野,2019-11-13,14,その他,女性,70歳以上,あり
窃盗,ひったくり,相模原,星が丘,141526,神奈川県,相模原市中央区,千代田５丁目,2019-07-16,23,その他,女性,30歳代,あり
窃盗,ひったくり,相模原,星が丘,141526,神奈川県,相模原市中央区,光が丘１丁目,2019-05-30,00,その他,女性,40歳代,あり
窃盗,ひったくり,相模原,星が丘,141526,神奈川県,相模原市中央区,光が丘１丁目,2019-07-08,20,その他,女性,30歳代,あり
窃盗,ひったくり,相模原,星が丘,141526,神奈川県,相模原市中央区,光が丘２丁目,2019-09-24,00,その他,女性,20歳代,あり
窃盗,ひったくり,相模原,星が丘,141526,神奈川県,相模原市中央区,陽光台２丁目,2019-08-21,22,その他,女性,20歳代,あり
窃盗,ひったくり,相模原,淵野辺駅北口,141526,神奈川県,相模原市中央区,淵野辺１丁目,2019-07-09,23,その他,女性,50歳代,あり
窃盗,ひったくり,相模原,淵野辺駅北口,141526,神奈川県,相模原市中央区,淵野辺２丁目,2019-06-25,23,その他,女性,50歳代,あり
窃盗,ひったくり,相模原,淵野辺駅南口,141526,神奈川県,相模原市中央区,共和２丁目,2019-08-22,23,その他,女性,30歳代,あり
窃盗,ひったくり,相模原,淵野辺駅南口,141526,神奈川県,相模原市中央区,共和３丁目,2019-05-03,00,その他,女性,40歳代,あり
窃盗,ひったくり,相模原,淵野辺駅南口,141526,神奈川県,相模原市中央区,矢部１丁目,2019-02-06,00,その他,男性,50歳代,なし
窃盗,ひったくり,相模原,相模原駅前,141526,神奈川県,相模原市中央区,相模原３丁目,2019-06-01,02,その他,女性,50歳代,あり
窃盗,ひったくり,相模原,相模原駅前,141526,神奈川県,相模原市中央区,相模原６丁目,2019-04-26,00,その他,女性,20歳代,あり
窃盗,ひったくり,相模原,相模原駅前,141526,神奈川県,相模原市中央区,相模原６丁目,2019-07-31,00,その他,女性,40歳代,あり
窃盗,ひったくり,相模原,相模原駅前,141526,神奈川県,相模原市中央区,相模原７丁目,2019-02-05,21,その他,女性,40歳代,あり
窃盗,ひったくり,相模原,相模原駅前,141526,神奈川県,相模原市中央区,宮下本町３丁目,2019-06-04,21,その他,女性,30歳代,あり
窃盗,ひったくり,相模原,相生,141526,神奈川県,相模原市中央区,相生１丁目,2019-06-25,22,その他,女性,40歳代,あり
窃盗,ひったくり,相模原,相生,141526,神奈川県,相模原市中央区,相生３丁目,2019-03-27,22,その他,女性,20歳代,あり
窃盗,ひったくり,相模原,相生,141526,神奈川県,相模原市中央区,相生３丁目,2019-08-22,23,その他,男性,20歳代,あり
窃盗,ひったくり,相模原,相生,141526,神奈川県,相模原市中央区,青葉１丁目,2019-07-06,22,その他,女性,20歳代,あり
窃盗,ひったくり,相模原,相生,141526,神奈川県,相模原市中央区,並木１丁目,2019-05-31,22,その他,女性,50歳代,なし
窃盗,ひったくり,相模原,相生,141526,神奈川県,相模原市中央区,並木１丁目,2019-08-22,21,その他,女性,40歳代,あり
窃盗,ひったくり,相模原,相生,141526,神奈川県,相模原市中央区,並木３丁目,2019-07-24,21,その他,女性,50歳代,あり
窃盗,ひったくり,相模原,相生,141526,神奈川県,相模原市中央区,弥栄２丁目,2019-05-05,23,その他,女性,20歳代,あり
窃盗,ひったくり,相模原,相生,141526,神奈川県,相模原市中央区,弥栄２丁目,2019-07-01,22,その他,女性,40歳代,あり
窃盗,ひったくり,相模原,相生,141526,神奈川県,相模原市中央区,弥栄２丁目,2019-08-06,22,その他,女性,50歳代,あり
窃盗,ひったくり,相模原,相生,141526,神奈川県,相模原市中央区,弥栄２丁目,2019-09-13,22,その他,女性,20歳代,なし
窃盗,ひったくり,相模原,相生,141526,神奈川県,相模原市中央区,由野台１丁目,2019-07-19,22,その他,女性,30歳代,あり
窃盗,ひったくり,相模原,南橋本駅前,141526,神奈川県,相模原市中央区,下九沢,2019-12-16,17,,女性,30歳代,あり
窃盗,ひったくり,相模原,南橋本駅前,141526,神奈川県,相模原市中央区,清新５丁目,2019-04-05,19,その他,男性,30歳代,あり
窃盗,ひったくり,相模原南,古淵駅前,141534,神奈川県,相模原市南区,大野台５丁目,2019-09-28,22,その他,女性,40歳代,あり
窃盗,ひったくり,相模原南,古淵駅前,141534,神奈川県,相模原市南区,古淵２丁目,2019-04-21,23,その他,女性,20歳代,あり
窃盗,ひったくり,相模原南,古淵駅前,141534,神奈川県,相模原市南区,古淵４丁目,2019-12-19,03,その他,男性,60-64歳,あり
窃盗,ひったくり,相模原南,南大野,141534,神奈川県,相模原市南区,南台３丁目,2019-05-06,01,その他,男性,65-69歳,あり
窃盗,ひったくり,相模原南,相模大野駅前,141534,神奈川県,相模原市南区,相模大野３丁目,2019-12-10,08,その他,女性,50歳代,なし
窃盗,ひったくり,相模原南,相模大野駅前,141534,神奈川県,相模原市南区,相模大野３丁目,2019-12-24,15,,女性,70歳以上,あり
窃盗,ひったくり,相模原南,相模大野駅前,141534,神奈川県,相模原市南区,相模大野６丁目,2019-12-19,05,その他,男性,65-69歳,なし
窃盗,ひったくり,相模原南,中和田,141534,神奈川県,相模原市南区,上鶴間本町８丁目,2019-04-29,23,その他,女性,20歳代,あり
窃盗,ひったくり,相模原南,相南,141534,神奈川県,相模原市南区,松が枝町,2019-05-08,02,その他,女性,40歳代,あり
窃盗,ひったくり,座間,相武台前,142166,神奈川県,座間市,相武台２丁目,2019-07-04,23,その他,女性,70歳以上,あり
窃盗,ひったくり,座間,栗原,142166,神奈川県,座間市,南栗原４丁目,2019-05-13,15,その他,男性,70歳以上,なし
窃盗,ひったくり,海老名,海西,142158,神奈川県,海老名市,河原口,2019-04-30,00,その他,女性,50歳代,あり
窃盗,ひったくり,海老名,海西,142158,神奈川県,海老名市,河原口,2019-05-12,22,その他,男性,20歳代,あり
窃盗,ひったくり,海老名,国分寺台,142158,神奈川県,海老名市,大谷北１丁目,2019-05-05,21,その他,女性,70歳以上,なし
